null,code,rarity,role,health,attackPower,attackSpeed,attackRange,moveSpeed,skillSpeed,skillId,basicAttackSkillId,addressableKey,awakeningAddressableKey,attackVfxType,projectileOffsetX,projectileOffsetY,baseScale,animationIdle,animationMove,animationAttack,criticalChance,criticalDamage,use
null,Runner,Legendary,Tank,1400,100,1.2,1,1.3,6,SKILL_SHIELD_CHARGE,,Assets/CharacterPrefabs/Character_20251016_175810.prefab,Assets/CharacterPrefabs/Character_20251016_175817.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Protest,Epic,Tank,800,60,1.3,1,1,5.5,SKILL_WIND_PUSH,,Assets/CharacterPrefabs/Character_20250808_153917.prefab,Assets/CharacterPrefabs/Character_20251016_175909.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Commander,Epic,Tank,900,65,1.4,1,1,8,SKILL_SHIELD_AURA,,Assets/CharacterPrefabs/Character_20250808_155433.prefab,Assets/CharacterPrefabs/Character_20251016_180541.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Ballerina,Epic,Tank,850,55,1.5,1,1,6,SKILL_TRIPLE_AXEL,,Assets/CharacterPrefabs/Character_20251016_175713.prefab,Assets/CharacterPrefabs/Character_20251016_175731.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Samurai,Legendary,DPS,800,210,1.8,1,1.5,7,SKILL_FLASH_SLASH,,Assets/CharacterPrefabs/Character_20250829_150326.prefab,Assets/CharacterPrefabs/Character_20250829_150429.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Chainsaw,Epic,DPS,550,140,1.6,1,1,6.5,SKILL_CHAINSAW_WHIRLWIND,,Assets/CharacterPrefabs/Character_20250808_152709.prefab,Assets/CharacterPrefabs/Character_20251016_180631.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Assassin,Epic,DPS,500,150,2,1,1,6,SKILL_ASSASSINATE,,Assets/CharacterPrefabs/Character_20250812_133323.prefab,Assets/CharacterPrefabs/Character_20251016_180213.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2.5,1
null,Sweaty,Rare,DPS,450,120,1.7,1,1,0,SKILL_TOXIC_AURA,,Assets/CharacterPrefabs/Character_20250808_164002.prefab,Assets/CharacterPrefabs/Character_20251016_180857.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Bazooka,Legendary,DPS,400,150,1,4,1,8,SKILL_BAZOOKA,SKILL_BASIC_ROCKET,Assets/CharacterPrefabs/Character_20250808_164502.prefab,Assets/CharacterPrefabs/Character_20250923_095344.prefab,,0,0,0.55,Idle,Run,Gun_atk4,0.05,1.5,1
null,Claw,Legendary,Support,420,100,1.4,3,1,7.5,SKILL_DOLL_THROW,,Assets/CharacterPrefabs/Character_20250812_132534.prefab,Assets/CharacterPrefabs/Character_20250929_165543.prefab,,-0.4,0.2,0.55,Idle_Bolt,Run,Gun_atk1,0.05,1.5,0
null,Squad,Legendary,Support,380,120,1.1,4,1,7,SKILL_FLASHBANG,,Assets/CharacterPrefabs/Character_20250902_101512.prefab,Assets/CharacterPrefabs/Character_20250902_134115.prefab,,-0.6,0.2,0.55,Idle_Bow,Run,Gun_atk2,0.05,1.5,1
null,Mad,Epic,Support,350,80,1.3,3,1,6,SKILL_HEALING_POTION,SKILL_BASIC_MAD,Assets/CharacterPrefabs/Character_20250808_170714.prefab,Assets/CharacterPrefabs/Character_20251016_180329.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Pirate,Rare,Tank,1000,50,1.5,1,1,10,SKILL_PIRATE_POISON_SLASH,,Assets/CharacterPrefabs/Character_Pirate.prefab,Assets/CharacterPrefabs/Character_20251016_180050.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Diver,Normal,Tank,850,55,1.5,1,1,7,SKILL_DIVER_WATER_SHIELD,,Assets/CharacterPrefabs/Character_Diver.prefab,Assets/CharacterPrefabs/Character_20251016_180754.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Martial,Normal,DPS,500,150,2,1,1,0,PASSIVE_Martial,,Assets/CharacterPrefabs/Character_Combats.prefab,Assets/CharacterPrefabs/Character_20251016_180428.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Hacker,Rare,Support,400,70,1.3,3,1,6,SKILL_HACKER_SHIELD,SKILL_BASIC_BULLET,Assets/CharacterPrefabs/Character_Whitehacker.prefab,Assets/CharacterPrefabs/Character_20251017_111850.prefab,,0,0,0.55,Idle,Run,Gun_atk1,0.05,1.5,1
null,Snake,Normal,Support,250,85,1.3,3,1,6,SKILL_SNAKE_ATTACK_SPEED_BUFF,SKILL_BASIC_SNAKE,Assets/CharacterPrefabs/Character_Maestro.prefab,Assets/CharacterPrefabs/Character_20251016_181025.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Test,Normal,DPS,550,140,1.6,1,1,6.5,SKILL_NURSE_INJECTION,,Assets/CharacterPrefabs/Character_20251222_122801.prefab,Assets/CharacterPrefabs/Character_20251222_122812.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,0
null,Police,Normal,Tank,900,70,1.4,1,1,7,SKILL_BARRICADE,,Assets/CharacterPrefabs/Character_Higata.prefab,Assets/CharacterPrefabs/Character_20251223_140709.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,0
null,Nurse,Legendary,Support,400,100,1.3,3,1,6,SKILL_NURSE_INJECTION,,Assets/CharacterPrefabs/Character_20251222_122801.prefab,Assets/CharacterPrefabs/Character_20251222_122812.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,0
