null,code,type,health,attackPower,attackSpeed,attackRange,moveSpeed,skillSpeed,skillId,basicAttackSkillId,deathSkillId,addressableKey,attackVfxType,projectileOffsetX,projectileOffsetY,baseScale,animationIdle,animationMove,animationAttack,truckDamage,criticalChance,criticalDamage,use
null,ZombieMan,Normal,1000,60,4000,1,10000,0,,,,Assets/CharacterPrefabs/Character_ZombieMan.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,ZombieWoman,Normal,600,40,7000,1,10000,0,,,,Assets/CharacterPrefabs/Character_ZombieWoman.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,0
null,ZombieBoss,Boss,14175,116,4000,1,10000,0,,,,Assets/CharacterPrefabs/Character_ZombieBoss.prefab,,,,17000,Idle,Walk,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,BowZombieMan,Normal,400,80,10000,5,8000,0,,,,Assets/CharacterPrefabs/Character_BowzombieMan.prefab,,,,5500,Idle_Bow,Walk,Attack_Bow,30,500,15000,0
null,BowZombieWoman,Normal,350,100,10000,5,8000,0,,,,Assets/CharacterPrefabs/Character_BowzombieWoman.prefab,,,,5500,Idle_Bow,Walk,Attack_Bow,30,500,15000,0
null,BowZombieBoss,Boss,10238,144,10000,5,8000,0,,,,Assets/CharacterPrefabs/Character_BowzombieBoss.prefab,,,,17000,Idle_Bow,Walk,Attack_Bow,300,500,20000,0
null,BowZombieWomanBoss,Boss,8663,99,10000,5,8000,0,,,,Assets/CharacterPrefabs/Character_BowzombieWomanboss.prefab,,,,17000,Idle_Bow,Walk,Attack_Bow,300,500,20000,0
null,PushZombie,Normal,1000,100,4000,1,15000,0,,SKILL_BASH,,Assets/CharacterPrefabs/Character_PushZombie.prefab,,,,5500,Idle,Walk,Attack2,30,500,15000,1
null,PushZombieBoss,Boss,12600,161,4000,1,15000,100000,SKILL_WIND_BASH,SKILL_BASH,,Assets/CharacterPrefabs/Character_PushZombieBoss.prefab,,,,17000,Idle2,Walk,Attack2,300,500,20000,1
null,RushZombie,Normal,1200,55,7000,1,20000,80000,SKILL_FLASH_RUSH,,,Assets/CharacterPrefabs/Character_Rushzombie.prefab,,,,5500,Idle2,Run,Attack1,30,500,15000,1
null,RushZombieBoss,Boss,12600,116,7000,1,20000,80000,SKILL_FLASH_RUSH_LARGE,,,Assets/CharacterPrefabs/Character_RushzombieBoss.prefab,,,,17000,Idle2,Run,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,RushZombieBoss2,Boss,11813,135,7000,1,20000,80000,SKILL_FLASH_RUSH_STUN,,,Assets/CharacterPrefabs/Character_RushzombieBoss2.prefab,,,,17000,Idle2,Run,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,BoomZombie,Normal,800,80,6000,1,10000,0,,,SKILL_DEATH_EXPLOSION,Assets/CharacterPrefabs/Character_Boomzombie.prefab,,,,5500,Idle,Walk,Attack3,50,500,15000,1
null,BoomZombieBoss,Boss,9000,124,6000,1,10000,0,,,SKILL_DEATH_EXPLOSION_BURN,Assets/CharacterPrefabs/Character_Boomzombieboss.prefab,,,,17000,Idle2,Walk,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,ZzangDoleZombie,Normal,350,50,10000,4,8000,0,,SKILL_BASIC_STONE,,Assets/CharacterPrefabs/Character_Zzangdolezombie.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,ZzangDoleZombieBoss,Boss,10238,99,7000,4,8000,0,,SKILL_STONE_BOMB,,Assets/CharacterPrefabs/Character_ZzangdolezombieBoss.prefab,,,,17000,Idle,Walk,Attack3,300,500,20000,1
