mode,stage,reward_type,reward_amount,wave_reward_multiplier,star1_reward_type,star1_reward_amount,star2_reward_type,star2_reward_amount,star3_reward_type,star3_reward_amount,patrol_gold_per_min,patrol_exp_per_min,patrol_shard_per_min,base_gold,base_stone,base_exp
Gold,1,"player_exp,gold","60,1200",,,,,,,,,,,0,0,0
Gold,2,"player_exp,gold","70,1440",,,,,,,,,,,0,0,0
Gold,3,"player_exp,gold","80,1680",,,,,,,,,,,0,0,0
Gold,4,"player_exp,gold","90,1920",,,,,,,,,,,0,0,0
Gold,5,"player_exp,gold","100,2160",,,,,,,,,,,0,0,0
Gold,6,"player_exp,gold","110,2400",,,,,,,,,,,0,0,0
Gold,7,"player_exp,gold","120,2640",,,,,,,,,,,0,0,0
Gold,8,"player_exp,gold","130,2880",,,,,,,,,,,0,0,0
Gold,9,"player_exp,gold","140,3120",,,,,,,,,,,0,0,0
Gold,10,"player_exp,gold","150,3360",,,,,,,,,,,0,0,0
Gold,11,"player_exp,gold","160,3600",,,,,,,,,,,0,0,0
Gold,12,"player_exp,gold","170,3840",,,,,,,,,,,0,0,0
Gold,13,"player_exp,gold","180,4080",,,,,,,,,,,0,0,0
Gold,14,"player_exp,gold","190,4320",,,,,,,,,,,0,0,0
Gold,15,"player_exp,gold","200,4560",,,,,,,,,,,0,0,0
Gold,16,"player_exp,gold","210,4800",,,,,,,,,,,0,0,0
Gold,17,"player_exp,gold","220,5040",,,,,,,,,,,0,0,0
Gold,18,"player_exp,gold","230,5280",,,,,,,,,,,0,0,0
Gold,19,"player_exp,gold","240,5520",,,,,,,,,,,0,0,0
Gold,20,"player_exp,gold","250,5760",,,,,,,,,,,0,0,0
Gold,21,"player_exp,gold","260,6000",,,,,,,,,,,0,0,0
Gold,22,"player_exp,gold","270,6240",,,,,,,,,,,0,0,0
Gold,23,"player_exp,gold","280,6480",,,,,,,,,,,0,0,0
Gold,24,"player_exp,gold","290,6720",,,,,,,,,,,0,0,0
Gold,25,"player_exp,gold","300,6960",,,,,,,,,,,0,0,0
Gold,26,"player_exp,gold","310,7200",,,,,,,,,,,0,0,0
Gold,27,"player_exp,gold","320,7440",,,,,,,,,,,0,0,0
Gold,28,"player_exp,gold","330,7680",,,,,,,,,,,0,0,0
Gold,29,"player_exp,gold","340,7920",,,,,,,,,,,0,0,0
Gold,30,"player_exp,gold","350,8160",,,,,,,,,,,0,0,0
Boss,1,"player_exp,enchantment_shard_blue","60,24",,,,,,,,,,,0,0,0
Boss,2,"player_exp,enchantment_shard_blue","70,29",,,,,,,,,,,0,0,0
Boss,3,"player_exp,enchantment_shard_blue","80,34",,,,,,,,,,,0,0,0
Boss,4,"player_exp,enchantment_shard_blue","90,39",,,,,,,,,,,0,0,0
Boss,5,"player_exp,enchantment_shard_blue","100,44",,,,,,,,,,,0,0,0
Boss,6,"player_exp,enchantment_shard_blue","110,49",,,,,,,,,,,0,0,0
Boss,7,"player_exp,enchantment_shard_blue","120,54",,,,,,,,,,,0,0,0
Boss,8,"player_exp,enchantment_shard_blue","130,59",,,,,,,,,,,0,0,0
Boss,9,"player_exp,enchantment_shard_blue","140,64",,,,,,,,,,,0,0,0
Boss,10,"player_exp,enchantment_shard_blue","150,69",,,,,,,,,,,0,0,0
Boss,11,"player_exp,enchantment_shard_blue","160,74",,,,,,,,,,,0,0,0
Boss,12,"player_exp,enchantment_shard_blue","170,79",,,,,,,,,,,0,0,0
Boss,13,"player_exp,enchantment_shard_blue","180,84",,,,,,,,,,,0,0,0
Boss,14,"player_exp,enchantment_shard_blue","190,89",,,,,,,,,,,0,0,0
Boss,15,"player_exp,enchantment_shard_blue","200,94",,,,,,,,,,,0,0,0
Boss,16,"player_exp,enchantment_shard_blue","210,99",,,,,,,,,,,0,0,0
Boss,17,"player_exp,enchantment_shard_blue","220,104",,,,,,,,,,,0,0,0
Boss,18,"player_exp,enchantment_shard_blue","230,109",,,,,,,,,,,0,0,0
Boss,19,"player_exp,enchantment_shard_blue","240,114",,,,,,,,,,,0,0,0
