unitCode,level,descKey,param0_source,param1_source,param2_source,param3_source,param4_source,param5_source,param6_source,param7_source,notes
# Bazooka - SKILL_BAZOOKA (바주카 포격)
Bazooka,0,unit.Bazooka.skill.desc,CHAIN_BAZOOKA_001.params.spread_count,CHAIN_BAZOOKA_001.value,CHAIN_BAZOOKA_001.params.same_target_multiplier@percent,CHAIN_BAZOOKA_002.value,CHAIN_BAZOOKA_002.tickInterval,CHAIN_BAZOOKA_002.duration,,,발사개수/피해%/중복배율/화상피해%/틱간격/화상지속
Bazooka,10,unit.Bazooka.breakthrough_10.desc,CHAIN_BAZOOKA_003_L10.value,,,,,,,,폭발피해% (화상 적 사망 시 폭발)
Bazooka,30,unit.Bazooka.breakthrough_30.desc,CHAIN_BAZOOKA_001_L30.params.spread_count,,,,,,,,총 발사 개수
Bazooka,50,unit.Bazooka.breakthrough_50.desc,CHAIN_BAZOOKA_001_L50.params.scale_increment@percent,CHAIN_BAZOOKA_001_L50.params.max_scale@percent_inv,,,,,,크기증가% / 최대크기%
Bazooka,999,unit.Bazooka.awakening.desc,CHAIN_BAZOOKA_001.value,CHAIN_BAZOOKA_001.params.same_target_multiplier@percent,CHAIN_BAZOOKA_002.value,CHAIN_BAZOOKA_002.tickInterval,CHAIN_BAZOOKA_002.duration,,,피해%/중복배율/화상피해%/틱간격/화상지속 (발사수5는 하드코딩)
# Runner - SKILL_SHIELD_CHARGE (돌진 방패)
Runner,0,unit.Runner.skill.desc,CHAIN_SC_001.value,CHAIN_SC_003.value,CHAIN_SC_001.duration,,,,,,보호막%/피해%/지속시간(초)
Runner,10,unit.Runner.breakthrough_10.desc,CHAIN_SC_005_L10.duration,,,,,,,,스턴 시간(초) - 새로 추가
Runner,30,unit.Runner.breakthrough_30.desc,CHAIN_SC_001_L30.value,,,,,,,,보호막%(증분값)
Runner,50,unit.Runner.breakthrough_50.desc,CHAIN_SC_005_L50.duration,,,,,,,,스턴 지속시간(초)
Runner,999,unit.Runner.awakening.desc,CHAIN_SC_001.value+CHAIN_SC_001_AWK.value,CHAIN_SC_003.value,CHAIN_SC_001.duration,,,,,,보호막%(합산)/피해%/지속시간
# Protest - SKILL_WIND_PUSH (강풍 밀어내기)
Protest,0,unit.Protest.skill.desc,CHAIN_WP_002.params.damage_percent,,,,,,,,피해%
Protest,10,unit.Protest.breakthrough_10.desc,CHAIN_WP_002_L10.params.damage_percent,,,,,,,,피해% 추가 (증분값)
Protest,30,unit.Protest.breakthrough_30.desc,CHAIN_WP_003_L30.value,CHAIN_WP_003_L30.duration,,,,,,슬로우%/지속시간
Protest,50,unit.Protest.breakthrough_50.desc,CHAIN_WP_001_L50.params.area_increase,,,,,,,,범위 증가%
Protest,999,unit.Protest.awakening.desc,CHAIN_WP_002.params.damage_percent,CHAIN_WP_004_AWK.params.probability,CHAIN_WP_004_AWK.duration,,,,,,피해%/스턴확률/스턴시간
# Commander - SKILL_SHIELD_AURA (방어 태세)
Commander,0,unit.Commander.skill.desc,CHAIN_SA_001.value,CHAIN_SA_001.duration,,,,,,,,보호막%/지속시간(초)
Commander,10,unit.Commander.breakthrough_10.desc,CHAIN_CMD_L10.value,,,,,,,,최대HP 증가%
Commander,30,unit.Commander.breakthrough_30.desc,CHAIN_CMD_L30.value,,,,,,,,아군 보호막%
Commander,50,unit.Commander.breakthrough_50.desc,CHAIN_CMD_L50.value,,,,,,,,보호막 추가%
