null,mode,stage,wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier
null,Normal,1,1,ZombieMan,17,SCATTER,0.48,0.8
null,Normal,1,2,ZombieMan,19,SCATTER,0.51,0.85
null,Normal,1,3,ZombieMan,20,SCATTER,0.54,0.9
null,Normal,1,4,ZombieMan,20,SCATTER,0.57,0.95
null,Normal,1,4,ZzangDoleZombie,2,LINE_LEFT,0.57,0.95
null,Normal,1,5,ZombieMan,17,SCATTER,0.6,1.0
null,Normal,1,5,ZzangDoleZombie,2,LINE_LEFT,0.6,1.0
null,Normal,1,5,ZombieBoss,1,LINE_LEFT,0.6,1.0
null,Normal,1,6,ZombieMan,23,SCATTER,0.63,1.05
null,Normal,1,6,ZzangDoleZombie,2,LINE_LEFT,0.63,1.05
null,Normal,1,7,ZombieMan,24,SCATTER,0.66,1.1
null,Normal,1,7,ZzangDoleZombie,3,LINE_LEFT,0.66,1.1
null,Normal,1,8,ZombieMan,25,SCATTER,0.69,1.15
null,Normal,1,8,ZzangDoleZombie,3,LINE_LEFT,0.69,1.15
null,Normal,1,9,ZombieMan,26,SCATTER,0.72,1.2
null,Normal,1,9,ZzangDoleZombie,4,LINE_LEFT,0.72,1.2
null,Normal,1,10,ZombieMan,22,SCATTER,0.75,1.25
null,Normal,1,10,ZzangDoleZombie,4,LINE_LEFT,0.75,1.25
null,Normal,1,10,ZombieBoss,1,LINE_LEFT,0.75,1.25
null,Normal,2,1,ZombieMan,17,SCATTER,0.54,0.79
null,Normal,2,2,ZombieMan,19,SCATTER,0.58,0.85
null,Normal,2,3,ZombieMan,20,SCATTER,0.62,0.91
null,Normal,2,4,ZombieMan,20,SCATTER,0.66,0.97
null,Normal,2,4,ZzangDoleZombie,2,LINE_LEFT,0.66,0.97
null,Normal,2,5,ZombieMan,17,SCATTER,0.7,1.03
null,Normal,2,5,ZzangDoleZombie,2,LINE_LEFT,0.7,1.03
null,Normal,2,5,ZombieBoss,1,LINE_LEFT,0.7,1.03
null,Normal,2,6,ZombieMan,23,SCATTER,0.74,1.08
null,Normal,2,6,ZzangDoleZombie,2,LINE_LEFT,0.74,1.08
null,Normal,2,7,ZombieMan,24,SCATTER,0.78,1.14
null,Normal,2,7,ZzangDoleZombie,3,LINE_LEFT,0.78,1.14
null,Normal,2,8,ZombieMan,25,SCATTER,0.82,1.2
