null,mode,stage,wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier,sub_wave
null,Normal,1,1,ZombieMan,5,SCATTER,0.58,0.58,1
null,Normal,1,1,ZombieMan,7,SCATTER,0.58,0.58,2
null,Normal,1,2,ZombieMan,6,SCATTER,0.84,0.84,1
null,Normal,1,2,ZombieMan,8,SCATTER,0.84,0.84,2
null,Normal,1,3,ZombieMan,6,SCATTER,1.09,1.09,1
null,Normal,1,3,ZombieMan,9,SCATTER,1.09,1.09,2
null,Normal,1,4,ZombieMan,6,SCATTER,1.35,1.35,1
null,Normal,1,4,ZombieMan,9,SCATTER,1.35,1.35,2
null,Normal,1,4,DefTankZombie,1,LINE_CENTER,1.35,1.35,1
null,Normal,1,4,DefTankZombie,1,LINE_CENTER,1.35,1.35,2
null,Normal,1,5,ZombieMan,5,SCATTER,1.6,1.6,1
null,Normal,1,5,ZombieMan,8,SCATTER,1.6,1.6,2
null,Normal,1,5,DefTankZombie,1,LINE_CENTER,1.6,1.6,1
null,Normal,1,5,DefTankZombie,1,LINE_CENTER,1.6,1.6,2
null,Normal,1,5,ZombieBoss,1,LINE_LEFT,1.6,1.6,2
null,Normal,1,6,ZombieMan,7,SCATTER,1.86,1.86,1
null,Normal,1,6,ZombieMan,11,SCATTER,1.86,1.86,2
null,Normal,1,6,DefTankZombie,1,LINE_CENTER,1.86,1.86,1
null,Normal,1,6,DefTankZombie,1,LINE_CENTER,1.86,1.86,2
null,Normal,1,7,ZombieMan,7,SCATTER,2.12,2.12,1
null,Normal,1,7,ZombieMan,11,SCATTER,2.12,2.12,2
null,Normal,1,7,DefTankZombie,1,LINE_CENTER,2.12,2.12,1
null,Normal,1,7,DefTankZombie,2,LINE_CENTER,2.12,2.12,2
null,Normal,1,8,ZombieMan,8,SCATTER,2.37,2.37,1
null,Normal,1,8,ZombieMan,12,SCATTER,2.37,2.37,2
null,Normal,1,8,DefTankZombie,1,LINE_CENTER,2.37,2.37,1
null,Normal,1,8,DefTankZombie,2,LINE_CENTER,2.37,2.37,2
null,Normal,1,9,ZombieMan,8,SCATTER,2.62,2.62,1
null,Normal,1,9,ZombieMan,12,SCATTER,2.62,2.62,2
null,Normal,1,9,DefTankZombie,2,LINE_CENTER,2.62,2.62,1
null,Normal,1,9,DefTankZombie,2,LINE_CENTER,2.62,2.62,2
null,Normal,1,10,ZombieMan,7,SCATTER,2.88,2.88,1
null,Normal,1,10,ZombieMan,10,SCATTER,2.88,2.88,2
null,Normal,1,10,DefTankZombie,2,LINE_CENTER,2.88,2.88,1
null,Normal,1,10,DefTankZombie,2,LINE_CENTER,2.88,2.88,2
null,Normal,1,10,ZombieBoss,1,LINE_LEFT,2.88,2.88,2
null,Normal,2,1,ZombieMan,5,SCATTER,0.68,0.68,1
null,Normal,2,1,ZombieMan,7,SCATTER,0.68,0.68,2
null,Normal,2,2,ZombieMan,6,SCATTER,1.0,1.0,1
null,Normal,2,2,ZombieMan,8,SCATTER,1.0,1.0,2
null,Normal,2,3,ZombieMan,6,SCATTER,1.32,1.32,1
null,Normal,2,3,ZombieMan,9,SCATTER,1.32,1.32,2
null,Normal,2,4,ZombieMan,6,SCATTER,1.65,1.65,1
null,Normal,2,4,ZombieMan,9,SCATTER,1.65,1.65,2
null,Normal,2,4,ZzangDoleZombie,1,LINE_LEFT,1.65,1.65,1
null,Normal,2,4,ZzangDoleZombie,1,LINE_LEFT,1.65,1.65,2
