null,code,rarity,role,health,attackPower,attackSpeed,attackRange,moveSpeed,skillSpeed,skillId,basicAttackSkillId,addressableKey,awakeningAddressableKey,attackVfxType,projectileOffsetX,projectileOffsetY,baseScale,animationIdle,animationMove,animationAttack,criticalChance,criticalDamage,use
null,Runner,Legendary,Tank,1400,100,1.2,1,1.3,6,SKILL_SHIELD_CHARGE,,Assets/CharacterPrefabs/Character_20251016_175810.prefab,Assets/CharacterPrefabs/Character_20251016_175817.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Protest,Epic,Tank,800,60,1.3,1,1,5.5,SKILL_WIND_PUSH,,Assets/CharacterPrefabs/Character_20250808_153917.prefab,Assets/CharacterPrefabs/Character_20251016_175909.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Commander,Epic,Tank,900,65,1.4,1,1,8,SKILL_SHIELD_AURA,,Assets/CharacterPrefabs/Character_20250808_155433.prefab,Assets/CharacterPrefabs/Character_20251016_180541.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Ballerina,Epic,Tank,850,55,1.5,1,1,6,SKILL_TRIPLE_AXEL,,Assets/CharacterPrefabs/Character_20251016_175713.prefab,Assets/CharacterPrefabs/Character_20251016_175731.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Samurai,Legendary,DPS,800,210,1.8,1,1.5,7,SKILL_FLASH_SLASH,,Assets/CharacterPrefabs/Character_20250829_150326.prefab,Assets/CharacterPrefabs/Character_20250829_150429.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Chainsaw,Epic,DPS,550,140,1.6,1,1,6.5,SKILL_CHAINSAW_WHIRLWIND,,Assets/CharacterPrefabs/Character_20250808_152709.prefab,Assets/CharacterPrefabs/Character_20251016_180631.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Assassin,Epic,DPS,500,150,2,1,1,6,SKILL_ASSASSINATE,,Assets/CharacterPrefabs/Character_20250812_133323.prefab,Assets/CharacterPrefabs/Character_20251016_180213.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2.5,1
null,Sweaty,Rare,DPS,450,120,1.7,1,1,0,SKILL_TOXIC_AURA,,Assets/CharacterPrefabs/Character_20250808_164002.prefab,Assets/CharacterPrefabs/Character_20251016_180857.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Bazooka,Legendary,DPS,400,150,1,4,1,8,SKILL_BAZOOKA,SKILL_BASIC_ROCKET,Assets/CharacterPrefabs/Character_20250808_164502.prefab,Assets/CharacterPrefabs/Character_20250923_095344.prefab,,0,0,0.55,Idle,Run,Gun_atk4,0.05,1.5,1
null,Claw,Legendary,Support,420,100,1.4,3,1,7.5,SKILL_DOLL_THROW,,Assets/CharacterPrefabs/Character_20250812_132534.prefab,Assets/CharacterPrefabs/Character_20250929_165543.prefab,,-0.4,0.2,0.55,Idle_Bolt,Run,Gun_atk1,0.05,1.5,0
null,Squad,Legendary,Support,380,120,1.1,4,1,7,SKILL_FLASHBANG,,Assets/CharacterPrefabs/Character_20250902_101512.prefab,Assets/CharacterPrefabs/Character_20250902_134115.prefab,,-0.6,0.2,0.55,Idle_Bow,Run,Gun_atk2,0.05,1.5,1
null,Mad,Epic,Support,350,80,1.3,3,1,6,SKILL_HEALING_POTION,SKILL_BASIC_MAD,Assets/CharacterPrefabs/Character_20250808_170714.prefab,Assets/CharacterPrefabs/Character_20251016_180329.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Pirate,Rare,Tank,1000,50,1.5,1,1,10,SKILL_PIRATE_POISON_SLASH,,Assets/CharacterPrefabs/Character_Pirate.prefab,Assets/CharacterPrefabs/Character_20251016_180050.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Diver,Normal,Tank,850,55,1.5,1,1,7,SKILL_DIVER_WATER_SHIELD,,Assets/CharacterPrefabs/Character_Diver.prefab,Assets/CharacterPrefabs/Character_20251016_180754.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Martial,Normal,DPS,500,150,2,1,1,0,PASSIVE_Martial,,Assets/CharacterPrefabs/Character_Combats.prefab,Assets/CharacterPrefabs/Character_20251016_180428.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Hacker,Rare,Support,400,70,1.3,3,1,6,SKILL_HACKER_SHIELD,SKILL_BASIC_BULLET,Assets/CharacterPrefabs/Character_Whitehacker.prefab,Assets/CharacterPrefabs/Character_20251017_111850.prefab,,0,0,0.55,Idle,Run,Gun_atk1,0.05,1.5,1
null,Snake,Normal,Support,250,85,1.3,3,1,6,SKILL_SNAKE_ATTACK_SPEED_BUFF,SKILL_BASIC_SNAKE,Assets/CharacterPrefabs/Character_Maestro.prefab,Assets/CharacterPrefabs/Character_20251016_181025.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Test,Normal,DPS,550,140,1.6,1,1,6.5,SKILL_NURSE_INJECTION,,Assets/CharacterPrefabs/Character_20251222_122801.prefab,Assets/CharacterPrefabs/Character_20251222_122812.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,0
null,Police,Rare,Tank,900,70,1.4,1,1,10,SKILL_BARRICADE,,Assets/CharacterPrefabs/Character_Higata.prefab,Assets/CharacterPrefabs/Character_20251223_140709.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Nurse,Legendary,Support,400,100,1.3,3,1,6,SKILL_NURSE_INJECTION,,Assets/CharacterPrefabs/Character_20251222_122801.prefab,Assets/CharacterPrefabs/Character_20251222_122812.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,0
null,Amelzia,Epic,DPS,440,130,1,4,1,7,SKILL_AMELZIA_MOLOTOV,SKILL_BASIC_AMELZIA,Assets/CharacterPrefabs/Character_20260330_150143.prefab,Assets/CharacterPrefabs/Character_20260330_150406.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,2,1
null,Radian,Normal,Support,300,70,1.1,4,1,7.5,SKILL_RADIAN_HEAL,SKILL_BASIC_HOLY,Assets/CharacterPrefabs/Character_20260330_133917.prefab,Assets/CharacterPrefabs/Character_20260330_133924.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Monchesto,Normal,DPS,500,140,1.2,1,1.2,7,SKILL_MONCHESTO_SPIN,,Assets/CharacterPrefabs/Character_20260330_144016.prefab,Assets/CharacterPrefabs/Character_20260330_144712.prefab,,0,0,0.55,Idle,Run,Attack3,0.10,1.5,1
null,Shutyan,Normal,DPS,700,80,1,4,1,8,SKILL_SHUTYAN_FRENZY,SKILL_BASIC_ICE,Assets/CharacterPrefabs/Character_20260330_153001.prefab,Assets/CharacterPrefabs/Character_20260330_153136.prefab,,0,0,0.55,Idle,Run,Attack3,0.10,2,1
null,Turando,Rare,Tank,1000,45,1,1,1,9,SKILL_TURANDO_HEAL,,Assets/CharacterPrefabs/Character_20260330_142735.prefab,Assets/CharacterPrefabs/Character_20260330_142810.prefab,,0,0,0.55,Idle,Run,Attack3,0.10,2,1
null,Zeta,Rare,DPS,600,80,1,4,1,7,SKILL_ZETA_PIERCE,SKILL_BASIC_SHADOW,Assets/CharacterPrefabs/Character_20260330_153613.prefab,Assets/CharacterPrefabs/Character_20260330_154232.prefab,,0,0,0.55,Idle,Run,Attack3,0.10,2,1
null,Modoo,Rare,Support,490,40,1,5,1.2,9,SKILL_MODOO_SHIELD,SKILL_BASIC_NATURE,Assets/CharacterPrefabs/Character_20260330_155316.prefab,Assets/CharacterPrefabs/Character_20260330_155709.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
null,Huma,Rare,DPS,690,95,1.2,1,1.1,10,SKILL_HUMA_FRENZY,,Assets/CharacterPrefabs/Character_20260330_132744.prefab,Assets/CharacterPrefabs/Character_20260330_132936.prefab,,0,0,0.55,Idle,Run,Attack3,0.1,2,1
null,Scalar,Epic,Support,590,160,1.3,4,1.2,10,SKILL_SCALAR_BUFF,SKILL_BASIC_AMETHYST,Assets/CharacterPrefabs/Character_20260330_151202.prefab,Assets/CharacterPrefabs/Character_20260330_151623.prefab,,0,0,0.55,Idle,Run,Attack3,0.1,2,1
null,Serventina,Epic,DPS,950,190,1.1,1,1.3,12,SKILL_SERVENTINA_FRENZY,,Assets/CharacterPrefabs/Character_20260330_160305.prefab,Assets/CharacterPrefabs/Character_20260330_160720.prefab,,0,0,0.55,Idle,Run,Attack3,0.1,2,1
null,Andrew,Epic,DPS,750,100,1.4,1,1.1,10,SKILL_ANDREW_STRIKE,,Assets/CharacterPrefabs/Character_20260330_141840.prefab,Assets/CharacterPrefabs/Character_20260330_142012.prefab,,0,0,0.55,Idle,Run,Attack3,0.1,2,1
null,Rico,Legendary,DPS,600,175,1.35,4,1.45,3,SKILL_RICO_STRIKE,SKILL_BASIC_RICO,Assets/CharacterPrefabs/Character_20260416_113239.prefab,Assets/CharacterPrefabs/Character_20260416_113526.prefab,,-0.6,0.2,0.55,Idle_Bow,Run,Gun_atk2,0.2,2,1
null,Zalts,Legendary,Tank,1650,100,1,1,1.1,10,SKILL_ZALTS_HEAL,,Assets/CharacterPrefabs/Character_20260416_133445.prefab,Assets/CharacterPrefabs/Character_20260416_133644.prefab,,0,0,0.55,Idle,Run,Attack3,0.05,1.5,1
