cargo_id,rarity,effect_type,value1,value2,value3,target_role,condition,loc_key_name,loc_key_desc,use,recommendScore
OIL_ASPD,Epic,stat_buff,2000,,,,,cargo.OIL_ASPD.name,cargo.OIL_ASPD.desc,1,88
VEST_DEF,Epic,stat_buff,1000,,,,,cargo.VEST_DEF.name,cargo.VEST_DEF.desc,1,75
CRIT_UP,Epic,stat_buff,1500,,,,,cargo.CRIT_UP.name,cargo.CRIT_UP.desc,1,82
MOVE_SPD,Epic,stat_buff,2000,,,,,cargo.MOVE_SPD.name,cargo.MOVE_SPD.desc,1,70
BASIC_AMP,Epic,stat_buff,4000,,,,,cargo.BASIC_AMP.name,cargo.BASIC_AMP.desc,1,85
AUTOHEAL,Epic,periodic,500,50000,,,,cargo.AUTOHEAL.name,cargo.AUTOHEAL.desc,1,80
ROLE_TANK,Epic,role_buff,0,6000,,Tank,,cargo.ROLE_TANK.name,cargo.ROLE_TANK.desc,1,78
ROLE_DPS,Epic,role_buff,2500,2500,,DPS,,cargo.ROLE_DPS.name,cargo.ROLE_DPS.desc,1,84
ROLE_SUP,Epic,role_buff,3000,,,Support,,cargo.ROLE_SUP.name,cargo.ROLE_SUP.desc,1,81
GLASS,Epic,conditional,4000,,,,first_damage,cargo.GLASS.name,cargo.GLASS.desc,1,73
DEBUFF_BONUS,Epic,conditional,3000,,,,debuffed_target,cargo.DEBUFF_BONUS.name,cargo.DEBUFF_BONUS.desc,1,72
LOWEST,Epic,conditional,4000,,,,lowest_rank,cargo.LOWEST.name,cargo.LOWEST.desc,1,71
REVENGE,Epic,event_on_death,2000,3000,,,,cargo.REVENGE.name,cargo.REVENGE.desc,1,74
TEARFUL,Epic,event_on_death,500,,,,,cargo.TEARFUL.name,cargo.TEARFUL.desc,1,67
MVP,Epic,event_on_wave,1000,,,,,cargo.MVP.name,cargo.MVP.desc,1,76
BOND,Epic,event_on_death,2000,500,,,,cargo.BOND.name,cargo.BOND.desc,1,77
CARGO_COUNT,Epic,scaling,200,,,,,cargo.CARGO_COUNT.name,cargo.CARGO_COUNT.desc,1,68
QUICKSTART,Epic,system_action,5000,,,,,cargo.QUICKSTART.name,cargo.QUICKSTART.desc,1,79
WAVE_ATK,Legendary,scaling,1000,5000,,,,cargo.WAVE_ATK.name,cargo.WAVE_ATK.desc,1,95
WAVE_HP,Legendary,scaling,1000,5000,,,,cargo.WAVE_HP.name,cargo.WAVE_HP.desc,1,93
WAVE_ASPD,Legendary,scaling,1500,7500,,,,cargo.WAVE_ASPD.name,cargo.WAVE_ASPD.desc,1,96
SKILL_AMP,Legendary,system_action,5000,,,,,cargo.SKILL_AMP.name,cargo.SKILL_AMP.desc,1,92
HEAL_AMP,Legendary,system_action,8000,,,,,cargo.HEAL_AMP.name,cargo.HEAL_AMP.desc,1,90
RAINBOW,Legendary,scaling,300,,,,,cargo.RAINBOW.name,cargo.RAINBOW.desc,1,89
MAX_RANK,Legendary,system_action,10000,,,,,cargo.MAX_RANK.name,cargo.MAX_RANK.desc,1,97
STAR,Legendary,system_action,10000,,,,,cargo.STAR.name,cargo.STAR.desc,0,50
VICTORY,Legendary,scaling,200,,,,,cargo.VICTORY.name,cargo.VICTORY.desc,1,91
RARE_ATK,Rare,stat_buff,1000,,,,,cargo.RARE_ATK.name,cargo.RARE_ATK.desc,1,65
RARE_DEF,Rare,stat_buff,500,,,,,cargo.RARE_DEF.name,cargo.RARE_DEF.desc,1,55
RARE_HP,Rare,stat_buff,1500,,,,,cargo.RARE_HP.name,cargo.RARE_HP.desc,1,62
RARE_ASPD,Rare,stat_buff,1500,,,,,cargo.RARE_ASPD.name,cargo.RARE_ASPD.desc,1,60
