enhanceId,locKey,icon,category,role,value1,value2,value3,excludeUnits,incompatible,maxStack,priority,use,scoreTank,scoreDPS,scoreSupport,units,track,slot,statType
ENH_HP_15,HP_15,tank,stat,all,300000,0,0,,,1,100,1,94,58,84,,,,
ENH_ATK_10,ATK_10,attack,stat,all,300000,0,0,,,1,100,1,64,97,65,,,,
ENH_HP_MINUS_ATK_PLUS,HP_MINUS_ATK_PLUS,attack,stat,dps,-250000,500000,0,,ENH_ATK_MINUS_HP_PLUS,1,90,1,0,96,0,,,,
ENH_ATK_MINUS_HP_PLUS,ATK_MINUS_HP_PLUS,tank,stat,tank,-250000,500000,0,,ENH_HP_MINUS_ATK_PLUS,1,90,1,84,0,0,,,,
ENH_SKILL_DMG,SKILL_DMG,attack,skill,all,400000,0,0,Martial|Commander|Diver|Hacker|Snake|Police|Radian|Shutyan|Turando|Modoo|Huma|Scalar|Serventina,,1,95,1,72,90,90,,,,
ENH_NORMAL_ATK,NORMAL_ATK,attack,combat,all,400000,0,0,,,1,85,1,68,95,55,,,,
ENH_SKILL_CD,SKILL_CD,cooldown,skill,all,-100000,0,0,Martial|Sweaty,,1,95,1,86,74,93,,,,
ENH_KILL_CHARGE,KILL_CHARGE,cooldown,special,all,50000,0,0,Martial|Sweaty,,1,80,1,60,62,75,,,,
ENH_AOE_RANGE,AOE_RANGE,range,skill,all,300000,0,0,Runner|Samurai|Assassin|Martial|Sweaty|Diver|Hacker|Snake|Police|Radian|Shutyan|Turando|Zeta|Huma|Scalar|Serventina|Andrew,,1,85,0,50,50,50,,,,
ENH_TANK_HEAL_LOW,TANK_HEAL_LOW,heal,special,tank,500000,400000,0,,,1,95,1,92,0,0,,,,
ENH_TANK_REDUCE_DMG,TANK_REDUCE_DMG,tank,stat,tank,150000,0,0,,,1,100,1,96,0,0,,,,
ENH_TANK_HP_TO_ATK,TANK_HP_TO_ATK,special,special,tank,40000,0,0,,,1,90,1,74,0,0,,,,
ENH_TANK_WAVE_HP,TANK_WAVE_HP,tank,special,tank,100000,500000,0,,,1,85,1,87,0,0,,,,
ENH_TANK_SHIELD_BOOST,TANK_SHIELD_BOOST,tank,skill,tank,500000,0,0,Diver|Protest|Ballerina|Pirate|Police|Turando,,1,90,1,90,0,0,,,,
ENH_TANK_SKILL_HEAL,TANK_SKILL_HEAL,heal,special,tank,100000,0,0,,,1,85,1,78,0,0,,,,
ENH_DPS_CRISIS_SHIELD,DPS_CRISIS_SHIELD,special,special,dps,300000,500000,500000,,,1,95,1,0,82,0,,,,
ENH_DPS_LIFESTEAL,DPS_LIFESTEAL,heal,special,dps,50000,0,0,,,1,90,1,0,78,0,,,,
ENH_DPS_BLEED,DPS_BLEED,attack,special,dps,80000,50000,0,Martial|Sweaty,,1,85,1,0,72,0,,,,
ENH_DPS_DOT_BOOST,DPS_DOT_BOOST,attack,skill,dps,1000000,0,0,Samurai|Chainsaw|Assassin|Martial|Amelzia|Monchesto|Shutyan|Zeta|Huma|Serventina|Andrew,,1,90,1,0,84,0,,,,
ENH_DPS_FULL_HP_BONUS,DPS_FULL_HP_BONUS,attack,special,dps,800000,0,0,,,1,85,1,0,70,0,,,,
ENH_DPS_CRIT,DPS_CRIT,attack,stat,dps,250000,0,0,,,1,90,1,0,91,0,,,,
ENH_SUP_CC_BOOST,SUP_CC_BOOST,duration,skill,support,500000,0,0,Mad|Hacker|Snake|Radian|Modoo|Scalar,,1,95,1,0,0,91,,,,
ENH_SUP_HEAL_BOOST,SUP_HEAL_BOOST,heal,skill,support,500000,0,0,Squad|Hacker|Snake|Modoo|Scalar,,1,95,1,0,0,95,,,,
ENH_SUP_PURE_HEALER,SUP_PURE_HEALER,heal,special,support,-250000,-250000,700000,Squad|Hacker|Snake|Modoo|Scalar,ENH_SUP_HYBRID,1,85,1,0,0,80,,,,
ENH_SUP_ALLY_SHIELD,SUP_ALLY_SHIELD,tank,special,support,200000,30000,0,Squad|Radian|Scalar,,1,90,1,0,0,88,,,,
ENH_SUP_RANGE_TARGET,SUP_RANGE_TARGET,range,special,support,0,0,0,,,1,80,0,0,0,50,,,,
ENH_SUP_HYBRID,SUP_HYBRID,attack,stat,support,-250000,400000,0,,ENH_SUP_PURE_HEALER,1,85,0,0,0,50,,,,
ENH_DPS_EXECUTE,DPS_EXECUTE,attack,special,dps,200000,2000000,0,,,1,85,1,0,80,0,,,,
ENH_DPS_FRENZY,DPS_FRENZY,attack,special,dps,80000,100000,0,,,1,85,1,0,76,0,,,,
ENH_DPS_STACK_ASPD,DPS_STACK_ASPD,attack,special,dps,30000,600000,0,,,1,85,1,0,86,0,,,,
ENH_DPS_BERSERKER,DPS_BERSERKER,attack,special,dps,500000,600000,0,,,1,85,1,0,68,0,,,,
ENH_DPS_HARVEST,DPS_HARVEST,attack,special,dps,5000,0,0,,,1,85,1,0,66,0,,,,
ENH_TANK_REVIVE,TANK_REVIVE,tank,special,tank,400000,0,0,,,1,85,0,50,0,0,,,,
ENH_TANK_CRISIS_HEAL,TANK_CRISIS_HEAL,heal,special,tank,500000,500000,50000,,,1,85,1,88,0,0,,,,
ENH_TANK_HP_SCALE,TANK_HP_SCALE,special,special,tank,250000,0,0,,,1,85,1,76,0,0,,,,
ENH_TANK_CC_EXTEND,TANK_CC_EXTEND,duration,special,tank,500000,0,0,Runner|Commander|Diver|Police|Turando|Protest,,1,85,1,80,0,0,,,,
ENH_TANK_INSPIRE,TANK_INSPIRE,cooldown,special,tank,200000,800000,0,,,1,85,0,50,0,0,,,,
ENH_SUP_FOCUS_FIRE,SUP_FOCUS_FIRE,attack,skill,support,-400000,600000,0,Hacker|Snake|Radian|Modoo,,1,85,0,0,0,50,,,,
ENH_SUP_WIDE_AOE,SUP_WIDE_AOE,range,skill,support,500000,0,0,Hacker|Snake,,1,85,0,0,0,50,,,,
ENH_SUP_OVERLOAD,SUP_OVERLOAD,cooldown,special,support,1000000,250000,50000,,,1,85,0,0,0,50,,,,
ENH_SUP_MULTI_STRIKE,SUP_MULTI_STRIKE,attack,combat,support,-400000,20000,0,,,1,85,0,0,0,50,,,,
ENH_SUP_LINK,SUP_LINK,support,special,support,150000,0,0,,,1,85,0,0,0,50,,,,
ENH_SUP_BUFF_EXTEND,SUP_BUFF_EXTEND,duration,special,support,500000,0,0,Mad|Squad|Radian,,1,85,1,0,0,82,,,,
ENH_DPS_SHIELD_BREAKER,SHIELD_BREAKER,attack,special,dps,600000,0,0,,,1,85,1,0,75,0,,,,
ENH_SUP_SHIELD_BREAKER,SHIELD_BREAKER,attack,special,support,600000,0,0,,,1,85,1,0,0,72,,,,
# ==== 카드 (영웅별 스킬 트리, P3) — 효과는 skill_change면 data-skill-chain의 requiredEnhanceId 행 참조 ====,,,,,,,,,,,,,,,,,,,
# 방패 밀치기: 평타 N회마다 대상을 밀침 | v1=발동 주기(회),,,,,,,,,,,,,,,,,,,
ENH_POLICE_PUSH_1,POLICE_PUSH_1,tank,skill_change,all,30000,0,0,,,1,50,1,50,50,50,Police,1,1,
# 방패 밀치기+1: 밀치기가 다수 대상화 | v1=밀치기 대상 수(명),,,,,,,,,,,,,,,,,,,
ENH_POLICE_PUSH_2,POLICE_PUSH_2,tank,skill_change,all,30000,0,0,,,1,50,1,50,50,50,Police,1,2,
# 방패 밀치기+2: 밀친 적 기절 | v1=기절 시간(초),,,,,,,,,,,,,,,,,,,
ENH_POLICE_PUSH_3,POLICE_PUSH_3,tank,skill_change,all,8000,0,0,,,1,50,1,50,50,50,Police,1,3,
# 바리케이드+1: 2개 설치·개당 체력 감소 | v1=개수(표기전용) v2=체력 감소%(표기전용, 실효=summon시트 health_percent),,,,,,,,,,,,,,,,,,,
ENH_POLICE_BARRICADE_1,POLICE_BARRICADE_1,special,skill_change,all,20000,300000,0,,,1,50,1,50,50,50,Police,2,1,
# 바리케이드+2: 바리케이드 체력 증가 | v1=체력 증가%,,,,,,,,,,,,,,,,,,,
ENH_POLICE_BARRICADE_2,POLICE_BARRICADE_2,special,skill_change,all,300000,0,0,,,1,50,1,50,50,50,Police,2,2,
# 바리케이드+3: 파괴/소멸 시 보호막 | v1=보호막(최대체력%) v2=지속(초),,,,,,,,,,,,,,,,,,,
ENH_POLICE_BARRICADE_3,POLICE_BARRICADE_3,special,skill_change,all,150000,50000,0,,,1,50,1,50,50,50,Police,2,3,
# 체력 증가(스탯) | v1=최대 체력%,,,,,,,,,,,,,,,,,,,
ENH_POLICE_HP,POLICE_HP,tank,stat,all,200000,0,0,,,1,50,1,50,50,50,Police,0,1,health
# 피해 감소(스탯) | v1=받는 피해 감소%,,,,,,,,,,,,,,,,,,,
ENH_POLICE_DMGRED,POLICE_DMGRED,tank,stat,all,100000,0,0,,,1,50,1,50,50,50,Police,0,2,damage_reduction
# 수호 진형: 바리케이드 설치 시 아군 피해 감소 | v1=감소% v2=지속(초),,,,,,,,,,,,,,,,,,,
ENH_POLICE_GUARD,POLICE_GUARD,duration,skill_change,all,100000,80000,0,,,1,50,1,50,50,50,Police,0,3,
# 연격: 평타가 같은 적 1회 추가 타격 | v1=추가타 피해%,,,,,,,,,,,,,,,,,,,
ENH_SAM_COMBO_1,SAM_COMBO_1,attack,skill_change,all,700000,0,0,,,1,50,1,50,50,50,Samurai,1,1,
# 연격+1: 추가타 피해 증가(합산) | v1=증가%,,,,,,,,,,,,,,,,,,,
ENH_SAM_COMBO_2,SAM_COMBO_2,attack,skill_change,all,300000,0,0,,,1,50,1,50,50,50,Samurai,1,2,
# 연격+2: 추가 타격 1회 더 | v1=추가 타격 피해%,,,,,,,,,,,,,,,,,,,
ENH_SAM_COMBO_3,SAM_COMBO_3,attack,skill_change,all,700000,0,0,,,1,50,1,50,50,50,Samurai,1,3,
# 검기: 평타 N회마다 관통 검기 발사 | v1=발동 주기(회) v2=검기 피해%,,,,,,,,,,,,,,,,,,,
