mission_id,day,mission_type,goal,point_value,description_key
growth_d1_1,1,stage_clear,2,25,event.growth.d1_stage
growth_d1_2,1,enhance_try,1,25,event.growth.d1_enhance
growth_d1_3,1,dungeon_clear_Gold,1,25,event.growth.d1_gold
growth_d1_4,1,dungeon_clear_Monster,1,25,event.growth.d1_monster
growth_d2_1,2,stage_clear,5,25,event.growth.d2_stage
growth_d2_2,2,enhance_try,2,25,event.growth.d2_enhance
growth_d2_3,2,dungeon_clear_Speed,2,25,event.growth.d2_speed
growth_d2_4,2,dungeon_clear_Boss,2,25,event.growth.d2_boss
growth_d3_1,3,dungeon_clear_Gold,3,25,event.growth.d3_gold
growth_d3_2,3,dungeon_clear_Speed,3,25,event.growth.d3_speed
growth_d3_3,3,stage_clear,7,25,event.growth.d3_stage
growth_d3_4,3,enhance_try,2,25,event.growth.d3_enhance
