chainId,dash_speed,stop_on_collision,collision_radius,overshoot_distance,knockback_distance,knockback_duration,knockback_direction,apply_damage,damage_percent,pull_strength,pull_duration,instant_teleport,skill_range,return_after_delay,max_targets,trigger_every_n,dash_to_post
CHAIN_SC_002,50000,0,20000,10000,,,,,,,,,,,,,
CHAIN_WP_002,,,,,20000,6000,left,1,400000,,,,,,,,
CHAIN_WP_002_L10,,,,,5000,6000,left,1,1500000,,,,,,,,
CHAIN_FS_001,150000,0,20000,5000,,,,,,,,,,,,,
CHAIN_TA_004_AWK,,,,,,,,,,50000,5000,,,,,,
CHAIN_ASS_001,200000,,,5000,,,,,,,,1,,,,,
CHAIN_BASH_002,,,,,10000,5000,away,0,,,,,,,,,
CHAIN_WB_002,,,,,10000,6000,left,1,1000000,,,,,,,,
CHAIN_FR_001,150000,0,10000,5000,,,,,,,,,,,,,
CHAIN_FRL_001,150000,0,20000,5000,,,,,,,,,,,,,
CHAIN_FRS_001,50000,0,10000,5000,,,,,,,,,,,,,
CHAIN_CSW_004_AWK,100000,0,15000,5000,,,,,,,,,-10000,,,,
CHAIN_NURSE_001,200000,,,3000,,,,,,,,1,-10000,5000,,,
CHAIN_EPSP_002,,,,,30000,5000,left,,,,,,,,,,
CHAIN_EMKA_001,200000,,,5000,,,,,,,,1,,,,,
CHAIN_EBSP_001,,,,,30000,5000,left,,,,,,,,,,
CHAIN_POLICE_PUSH_1,,,,,15000,4000,away,,,,,,,,,3,
CHAIN_POLICE_PUSH_2,,,,,15000,4000,away,,,,,,,,3,3,
CHAIN_FS_003,150000,,,,,,,,,,,,,,,,1
