chainId,collision_damage,probability,damage_multiplier_boss,required_debuff,explosion_radius,falloff,max_targets,show_range_indicator,trigger_every_n,extra_attack_motion,motion_speed,extra_hit_delay
CHAIN_SC_003,1,,,,,,,,,,,
CHAIN_FS_002,1,,,,,,,,,,,
CHAIN_FS_002_L10,1,,,,,,,,,,,
CHAIN_ASS_003_L10,,150000,1000000,,,,,,,,,
CHAIN_ASS_003_L50,,300000,1000000,,,,,,,,,
CHAIN_BAZOOKA_003_L10,,,,burn,30000,,,,,,,
CHAIN_FLASHBANG_002,,,,,,8000,,,,,,
CHAIN_FLASHBANG_002_L30,,,,,,8000,,,,,,
CHAIN_STONE_BOMB_002,,,,,,7000,,,,,,
CHAIN_FR_002,1,,,,,,,,,,,
CHAIN_FRL_002,1,,,,,,,,,,,
CHAIN_FRS_002,1,,,,,,,,,,,
CHAIN_DE_001,,,,,,8000,,,,,,
CHAIN_DEB_001,,,,,,8000,,,,,,
CHAIN_AM_002,,,,,,8000,,,,,,
CHAIN_AM_002_AWK,,,,,,8000,,,,,,
CHAIN_AM_002_L30,,,,,,8000,,,,,,
CHAIN_BN_003,,,,,,7000,,,,,,
CHAIN_EDH_001,,,,,,8000,,,,,,
CHAIN_EYML_001,,,,,,8000,,,,,,
CHAIN_EAMM_002,,,,,,8000,,,,,,
CHAIN_EAML_001,,,,,,8000,3,1,,,,
CHAIN_MAD_TOX_1,,,,,,10000,10,,,,,
CHAIN_SAM_COMBO_1,,,,,,,,,,1,25000,2000
CHAIN_SAM_COMBO_3,,,,,,,,,,1,25000,2000
