SoundType,AddressableKey,Volume,use
bgm_main,Assets/_game/Sound/City Day Lobby.mp3,8000,1
bgm_battle,Assets/_game/Sound/City Day Battle.mp3,8000,1
bgm_main2,Assets/_game/Sound/String Remix Lobby.mp3,8000,1
bgm_battle2,Assets/_game/Sound/String Remix Battle.mp3,8000,1
ui_open,Assets/_game/Sound/effect/open_DM-CGS-21.wav,10000,1
ui_close,Assets/_game/Sound/effect/close_DM-CGS-40.wav,10000,1
core_ally_new,Assets/_game/Sound/effect/CoreHeroMerge_Special & Powerup (20).wav,10000,1
core_ally_rank_up,Assets/_game/Sound/effect/CoreHeroMerge_Special & Powerup (20).wav,10000,1
core_select_show,Assets/_game/Sound/effect/005_magic_equip_in.mp3,10000,1
core_hit,Assets/_game/Sound/effect/hit_Plasma3.wav,4000,1
diff_toggle,Assets/_game/Sound/effect/diff_toggle.mp3,10000,1
match_done,Assets/_game/Sound/effect/match_done.mp3,10000,1
play_button,Assets/_game/Sound/effect/play_button.mp3,10000,1
coin_sfx,Assets/_game/Sound/effect/coin.mp3,10000,1
gem_sfx,Assets/_game/Sound/effect/gem.mp3,10000,1
reward_claim,Assets/_game/Sound/effect/002_reward_get.mp3,10000,1
purchase_success,Assets/_game/Sound/effect/purchase_suc.mp3,10000,1
result_gacha,Assets/_game/Sound/effect/clear_sfx.wav,10000,1
upgrade_sfx,Assets/_game/Sound/effect/upgrade_sfx.wav,4000,1
bubble_drop,Assets/_game/Sound/effect/bubble_drop.wav,10000,1
turn_tshirts,Assets/_game/Sound/effect/turn_tshirts.wav,10000,1
switch_char,Assets/_game/Sound/effect/switch.wav,10000,1
equip_btn,Assets/_game/Sound/effect/equip_btn.wav,10000,1
skill_charge,Assets/_game/Sound/effect/skill_charge.wav,10000,1
find_relic,Assets/_game/Sound/effect/skillActived.wav,10000,1
bgm_content_1,Assets/_game/Sound/City Day Lobby.mp3,8000,1
bgm_content_2,Assets/_game/Sound/String Remix Battle.mp3,8000,1
bgm_content_3,Assets/_game/Sound/String Remix Battle.mp3,8000,1
bgm_content_4,Assets/_game/Sound/City Day Lobby.mp3,8000,1
bgm_hard,Assets/_game/Sound/City Day Battle.mp3,8000,1
hero_awaken,Assets/_game/Sound/effect/awaken.mp3,10000,1
engine_start,Assets/_game/Sound/effect/car_engine_start.mp3,10000,1
hero_levelup,Assets/_game/Sound/effect/levelup.wav,10000,0
buff_restore,Assets/_game/Sound/effect/health_restore.wav,10000,1
melee_attack,Assets/_game/Sound/effect/melee_attack.wav,4000,1
range_attack,Assets/_game/Sound/effect/range_attack.wav,4000,1
gun_fire,Assets/Polygon Arsenal/Sound/Wav/poly_shoot_pistol.wav,10000,1
snake_fire,Assets/Polygon Arsenal/Sound/Wav/poly_shoot_storm.wav,10000,1
buff_sheild,Assets/_game/Sound/effect/shelid.mp3,10000,0
runner_skill,Assets/_game/Sound/effect/Runner_sk.mp3,10000,1
protest_skill,Assets/_game/Sound/effect/protest_sk.wav,10000,1
commander_skill,Assets/_game/Sound/effect/commander_sk.wav,10000,1
ballerina_skill,Assets/_game/Sound/effect/Ballerina_sk.wav,10000,1
pirate_skill,Assets/_game/Sound/effect/Pirate_sk.wav,10000,1
diver_skill,Assets/_game/Sound/effect/diver_sk.wav,10000,1
samurai_skill,Assets/_game/Sound/effect/samurai_sk.wav,10000,1
chainsaw_skill,Assets/_game/Sound/effect/Chainsaw_sk.mp3,10000,1
assassin_skill,Assets/_game/Sound/effect/Assassin_sk.wav,10000,1
sweaty_skill,Assets/_game/Sound/effect/sweaty_sk.mp3,10000,1
bazooka_skill,Assets/_game/Sound/effect/Bazooka_sk.wav,10000,1
squad_skill,Assets/_game/Sound/effect/squad_sk.mp3,10000,1
mad_skill,Assets/_game/Sound/effect/mad_sk.mp3,10000,1
haker_skill,Assets/_game/Sound/effect/hakcer_sk.mp3,10000,1
snake_skill,Assets/_game/Sound/effect/snake_sk.wav,10000,1
enemy_death,Assets/Polygon Arsenal/Sound/Wav/poly_explosion_antimatter.wav,10000,1
roulette_tick,Assets/_game/Sound/effect/tick_DM-CGS-20.wav,10000,1
roulette_congrat,Assets/_game/Sound/effect/congrat_DM-CGS-18.wav,10000,0
heal_sfx,Assets/Polygon Arsenal/Sound/Wav/poly_explosion_holy.wav,10000,1
result_fail,Assets/_game/Sound/effect/fail_DM-CGS-25.wav,10000,1
unit_jump,Assets/_game/Sound/effect/jump_DM-CGS-47.wav,10000,1
truck_landing,Assets/_game/Sound/effect/truck_landing_DM-CGS-48.wav,6000,1
missile_launch,Assets/Polygon Arsenal/Sound/Wav/poly_shoot_missile.wav,10000,1
tyre_skid,Assets/_game/Sound/effect/tyre_skid_04.wav,10000,1
unit_revive,Assets/_game/Sound/effect/RPG3_GenericMisc_AttackMissed03.wav,10000,1
core_sudden_death,Assets/_game/Sound/effect/alarm_siren_loop_11.wav,10000,1
cargo_epic_open,Assets/_game/Sound/effect/004_character_upgrade.mp3,10000,1
enemy_spawn,Assets/_game/Sound/effect/poly_shoot_skull.wav,10000,1
truck_explosion,Assets/Polygon Arsenal/Sound/Wav/poly_explosion_medium2.wav,10000,1
new_content_reveal,Assets/_game/Sound/effect/skillActived.wav,10000,1
new_content_move,Assets/_game/Sound/effect/jump_DM-CGS-47.wav,7000,1
