mode,stage,wave_group,hp_multiplier,attack_multiplier,wave_reward_multiplier,star1_reward_type,star1_reward_amount,star2_reward_type,star2_reward_amount,star3_reward_type,star3_reward_amount,patrol_gold_per_min,patrol_exp_per_min,patrol_shard_per_min,base_gold,base_stone,base_exp
Normal,1,TUTO01_W05,5800,5800,10000,gem,100,gem,100,gem,200,8300,830,200,2000,40,100
Normal,2,TUTO02_W10,6800,6800,10000,gem,100,gem,100,gem,200,16700,1700,400,2400,48,110
Normal,3,CH01_START_W15,8500,8500,10000,gem,100,gem,100,gem,200,25000,2500,600,2800,56,120
Normal,4,CH01_MID_W15,9500,9500,10000,gem,100,gem,100,gem,200,33300,3300,800,3200,64,130
Normal,5,CH01_MID_W15,10500,10500,10000,gem,100,gem,100,gem,200,41700,4200,1000,3600,72,140
Normal,6,CH01_MID_W15,11500,11500,10000,gem,100,gem,100,gem,200,50000,5000,1200,4000,80,150
Normal,7,CH01_LATE_W15,12500,12500,10000,gem,100,gem,100,gem,200,58300,5800,1400,4400,88,160
Normal,8,CH01_LATE_W15,13500,13500,10000,gem,100,gem,100,gem,200,66700,6700,1600,4800,96,170
Normal,9,CH01_LATE_W15,14500,14500,10000,gem,100,gem,100,gem,200,75000,7500,1800,5200,104,180
Normal,10,CH01_END_W15,15500,15500,10000,gem,100,gem,100,gem,200,83300,8300,2000,5600,112,190
Normal,11,CH02_START_W15,16500,16500,10000,gem,100,gem,100,gem,200,91700,9200,2200,6000,120,200
Normal,12,CH02_START_W15,17500,17500,10000,gem,100,gem,100,gem,200,100000,10000,2400,6400,128,210
Normal,13,CH02_START_W15,18500,18500,10000,gem,100,gem,100,gem,200,108300,10800,2600,6800,136,220
Normal,14,CH02_MID_W15,19500,19500,10000,gem,100,gem,100,gem,200,116700,11700,2800,7200,144,230
Normal,15,CH02_MID_W15,20500,20500,10000,gem,100,gem,100,gem,200,125000,12500,3000,7600,152,240
Normal,16,CH02_MID_W15,21500,21500,10000,gem,100,gem,100,gem,200,133300,13300,3200,8000,160,250
Normal,17,CH02_LATE_W15,22500,22500,10000,gem,100,gem,100,gem,200,141700,14200,3400,8400,168,260
Normal,18,CH02_LATE_W15,23500,23500,10000,gem,100,gem,100,gem,200,150000,15000,3600,8800,176,270
Normal,19,CH02_LATE_W15,24500,24500,10000,gem,100,gem,100,gem,200,158300,15800,3800,9200,184,280
Normal,20,CH02_END_W15,25500,25500,10000,gem,100,gem,100,gem,200,166700,16700,4000,9600,192,290
Normal,21,CH03_START_W15,26500,26500,10000,gem,100,gem,100,gem,200,175000,17500,4200,10000,200,300
Normal,22,CH03_START_W15,27500,27500,10000,gem,100,gem,100,gem,200,183300,18300,4400,10400,208,310
Normal,23,CH03_START_W15,28500,28500,10000,gem,100,gem,100,gem,200,191700,19200,4600,10800,216,320
Normal,24,CH03_MID_W15,29500,29500,10000,gem,100,gem,100,gem,200,200000,20000,4800,11200,224,330
Normal,25,CH03_MID_W15,30500,30500,10000,gem,100,gem,100,gem,200,208300,20800,5000,11600,232,340
Normal,26,CH03_MID_W15,31500,31500,10000,gem,100,gem,100,gem,200,216700,21700,5200,12000,240,350
Normal,27,CH03_LATE_W15,32500,32500,10000,gem,100,gem,100,gem,200,225000,22500,5400,12400,248,360
Normal,28,CH03_LATE_W15,33500,33500,10000,gem,100,gem,100,gem,200,233300,23300,5600,12800,256,370
Normal,29,CH03_LATE_W15,34500,34500,10000,gem,100,gem,100,gem,200,241700,24200,5800,13200,264,380
Normal,30,CH03_END_W15,35500,35500,10000,gem,100,gem,100,gem,200,250000,25000,6000,13600,272,390
Hard,1,CH01_START_W15,10000,10000,10000,gem,100,gem,100,gem,200,16700,1700,400,4000,80,200
Hard,2,CH01_START_W15,12500,12500,10000,gem,100,gem,100,gem,200,33300,3300,800,4800,96,220
Hard,3,CH01_START_W15,15000,15000,10000,gem,100,gem,100,gem,200,50000,5000,1200,5600,112,240
Hard,4,CH01_MID_W15,17500,17500,10000,gem,100,gem,100,gem,200,66700,6700,1600,6400,128,260
Hard,5,CH01_MID_W15,20000,20000,10000,gem,100,gem,100,gem,200,83300,8300,2000,7200,144,280
Hard,6,CH01_MID_W15,22500,22500,10000,gem,100,gem,100,gem,200,100000,10000,2400,8000,160,300
Hard,7,CH01_LATE_W15,25000,25000,10000,gem,100,gem,100,gem,200,116700,11700,2800,8800,176,320
Hard,8,CH01_LATE_W15,27500,27500,10000,gem,100,gem,100,gem,200,133300,13300,3200,9600,192,340
Hard,9,CH01_LATE_W15,30000,30000,10000,gem,100,gem,100,gem,200,150000,15000,3600,10400,208,360
Hard,10,CH01_END_W15,32500,32500,10000,gem,100,gem,100,gem,200,166700,16700,4000,11200,224,380
Hard,11,CH02_START_W15,35000,35000,10000,gem,100,gem,100,gem,200,183300,18300,4400,12000,240,400
Hard,12,CH02_START_W15,37500,37500,10000,gem,100,gem,100,gem,200,200000,20000,4800,12800,256,420
Hard,13,CH02_START_W15,40000,40000,10000,gem,100,gem,100,gem,200,216700,21700,5200,13600,272,440
Hard,14,CH02_MID_W15,42500,42500,10000,gem,100,gem,100,gem,200,233300,23300,5600,14400,288,460
Hard,15,CH02_MID_W15,45000,45000,10000,gem,100,gem,100,gem,200,250000,25000,6000,15200,304,480
Hard,16,CH02_MID_W15,47500,47500,10000,gem,100,gem,100,gem,200,266700,26700,6400,16000,320,500
Hard,17,CH02_LATE_W15,50000,50000,10000,gem,100,gem,100,gem,200,283300,28300,6800,16800,336,520
Hard,18,CH02_LATE_W15,52500,52500,10000,gem,100,gem,100,gem,200,300000,30000,7200,17600,352,540
Hard,19,CH02_LATE_W15,55000,55000,10000,gem,100,gem,100,gem,200,316700,31700,7600,18400,368,560
Hard,20,CH02_END_W15,57500,57500,10000,gem,100,gem,100,gem,200,333300,33300,8000,19200,384,580
Hard,21,CH03_START_W15,60000,60000,10000,gem,100,gem,100,gem,200,350000,35000,8400,20000,400,600
Hard,22,CH03_START_W15,62500,62500,10000,gem,100,gem,100,gem,200,366700,36700,8800,20800,416,620
Hard,23,CH03_START_W15,65000,65000,10000,gem,100,gem,100,gem,200,383300,38300,9200,21600,432,640
Hard,24,CH03_MID_W15,67500,67500,10000,gem,100,gem,100,gem,200,400000,40000,9600,22400,448,660
Hard,25,CH03_MID_W15,70000,70000,10000,gem,100,gem,100,gem,200,416700,41700,10000,23200,464,680
Hard,26,CH03_MID_W15,72500,72500,10000,gem,100,gem,100,gem,200,433300,43300,10400,24000,480,700
Hard,27,CH03_LATE_W15,75000,75000,10000,gem,100,gem,100,gem,200,450000,45000,10800,24800,496,720
Hard,28,CH03_LATE_W15,77500,77500,10000,gem,100,gem,100,gem,200,466700,46700,11200,25600,512,740
Hard,29,CH03_LATE_W15,80000,80000,10000,gem,100,gem,100,gem,200,483300,48300,11600,26400,528,760
Hard,30,CH03_END_W15,82500,82500,10000,gem,100,gem,100,gem,200,500000,50000,12000,27200,544,780
