nodeId,reqLevel,nodeType,statCode,value,costGold
1,1,normal,ATTACK_POWER,5,1000
2,1,normal,HP,10,1100
3,1,normal,DEFENSE,3,1200
4,2,normal,ATTACK_POWER,5,1300
5,2,normal,HP,10,1400
6,2,normal,DEFENSE,3,1500
7,3,normal,ATTACK_POWER,5,1600
8,3,normal,HP,10,1700
9,3,normal,DEFENSE,3,1800
10,4,normal,ATTACK_POWER,5,1900
11,4,normal,HP,10,2000
12,4,normal,DEFENSE,3,2100
13,5,normal,ATTACK_POWER,5,2200
14,5,normal,HP,10,2300
15,5,normal,DEFENSE,3,2400
16,6,normal,ATTACK_POWER,5,2500
17,6,normal,HP,10,2600
18,6,normal,DEFENSE,3,2700
19,7,normal,ATTACK_POWER,5,2800
20,7,normal,HP,10,2900
21,7,normal,DEFENSE,3,3000
22,8,normal,ATTACK_POWER,5,3100
23,8,normal,HP,10,3200
24,8,normal,DEFENSE,3,3300
25,9,normal,ATTACK_POWER,5,3400
26,9,normal,HP,10,3500
27,9,normal,DEFENSE,3,3600
28,10,special,ATTACK_SPEED_PER,900,18500
29,11,normal,ATTACK_POWER,5,3800
30,11,normal,HP,10,3900
31,11,normal,DEFENSE,3,4000
32,12,normal,ATTACK_POWER,5,4100
33,12,normal,HP,10,4200
34,12,normal,DEFENSE,3,4300
35,13,normal,ATTACK_POWER,5,4400
36,13,normal,HP,10,4500
37,13,normal,DEFENSE,3,4600
38,14,normal,ATTACK_POWER,5,4700
39,14,normal,HP,10,4800
40,14,normal,DEFENSE,3,4900
41,15,normal,ATTACK_POWER,5,5000
42,15,normal,HP,10,5100
43,15,normal,DEFENSE,3,5200
44,16,normal,ATTACK_POWER,5,5300
45,16,normal,HP,10,5400
46,16,normal,DEFENSE,3,5500
47,17,normal,ATTACK_POWER,5,5600
48,17,normal,HP,10,5700
49,17,normal,DEFENSE,3,5800
50,18,normal,ATTACK_POWER,5,5900
51,18,normal,HP,10,6000
52,18,normal,DEFENSE,3,6100
53,19,normal,ATTACK_POWER,5,6200
54,19,normal,HP,10,6300
55,19,normal,DEFENSE,3,6400
56,20,special,CRIT_CHANCE_PER,1000,32500
57,21,normal,ATTACK_POWER,5,6600
58,21,normal,HP,10,6700
59,21,normal,DEFENSE,3,6800
60,22,normal,ATTACK_POWER,5,6900
61,22,normal,HP,10,7000
62,22,normal,DEFENSE,3,7100
63,23,normal,ATTACK_POWER,5,7200
64,23,normal,HP,10,7300
65,23,normal,DEFENSE,3,7400
66,24,normal,ATTACK_POWER,5,7500
67,24,normal,HP,10,7600
68,24,normal,DEFENSE,3,7700
69,25,normal,ATTACK_POWER,5,7800
70,25,normal,HP,10,7900
71,25,normal,DEFENSE,3,8000
72,26,normal,ATTACK_POWER,5,8100
73,26,normal,HP,10,8200
74,26,normal,DEFENSE,3,8300
75,27,normal,ATTACK_POWER,5,8400
76,27,normal,HP,10,8500
77,27,normal,DEFENSE,3,8600
78,28,normal,ATTACK_POWER,5,8700
79,28,normal,HP,10,8800
80,28,normal,DEFENSE,3,8900
81,29,normal,ATTACK_POWER,5,9000
82,29,normal,HP,10,9100
83,29,normal,DEFENSE,3,9200
84,30,special,DAMAGE_TAKEN_REDUCE_PER,800,46500
85,31,normal,ATTACK_POWER,5,9400
86,31,normal,HP,10,9500
87,31,normal,DEFENSE,3,9600
88,32,normal,ATTACK_POWER,5,9700
89,32,normal,HP,10,9800
90,32,normal,DEFENSE,3,9900
91,33,normal,ATTACK_POWER,5,10000
92,33,normal,HP,10,10100
93,33,normal,DEFENSE,3,10200
94,34,normal,ATTACK_POWER,5,10300
95,34,normal,HP,10,10400
96,34,normal,DEFENSE,3,10500
97,35,normal,ATTACK_POWER,5,10600
98,35,normal,HP,10,10700
99,35,normal,DEFENSE,3,10800
100,36,normal,ATTACK_POWER,5,10900
101,36,normal,HP,10,11000
102,36,normal,DEFENSE,3,11100
103,37,normal,ATTACK_POWER,5,11200
104,37,normal,HP,10,11300
105,37,normal,DEFENSE,3,11400
106,38,normal,ATTACK_POWER,5,11500
107,38,normal,HP,10,11600
108,38,normal,DEFENSE,3,11700
109,39,normal,ATTACK_POWER,5,11800
110,39,normal,HP,10,11900
111,39,normal,DEFENSE,3,12000
112,40,special,CRIT_DAMAGE_PER,2000,60500
113,41,normal,ATTACK_POWER,5,12200
114,41,normal,HP,10,12300
115,41,normal,DEFENSE,3,12400
116,42,normal,ATTACK_POWER,5,12500
117,42,normal,HP,10,12600
118,42,normal,DEFENSE,3,12700
119,43,normal,ATTACK_POWER,5,12800
120,43,normal,HP,10,12900
121,43,normal,DEFENSE,3,13000
122,44,normal,ATTACK_POWER,5,13100
123,44,normal,HP,10,13200
124,44,normal,DEFENSE,3,13300
125,45,normal,ATTACK_POWER,5,13400
126,45,normal,HP,10,13500
127,45,normal,DEFENSE,3,13600
128,46,normal,ATTACK_POWER,5,13700
129,46,normal,HP,10,13800
130,46,normal,DEFENSE,3,13900
131,47,normal,ATTACK_POWER,5,14000
132,47,normal,HP,10,14100
133,47,normal,DEFENSE,3,14200
134,48,normal,ATTACK_POWER,5,14300
135,48,normal,HP,10,14400
136,48,normal,DEFENSE,3,14500
137,49,normal,ATTACK_POWER,5,14600
138,49,normal,HP,10,14700
139,49,normal,DEFENSE,3,14800
140,50,special,BOSS_DAMAGE_PER,2500,74500
141,51,normal,ATTACK_POWER,5,15000
142,51,normal,HP,10,15100
143,51,normal,DEFENSE,3,15200
144,52,normal,ATTACK_POWER,5,15300
145,52,normal,HP,10,15400
146,52,normal,DEFENSE,3,15500
147,53,normal,ATTACK_POWER,5,15600
148,53,normal,HP,10,15700
149,53,normal,DEFENSE,3,15800
150,54,normal,ATTACK_POWER,5,15900
151,54,normal,HP,10,16000
152,54,normal,DEFENSE,3,16100
153,55,normal,ATTACK_POWER,5,16200
154,55,normal,HP,10,16300
155,55,normal,DEFENSE,3,16400
156,56,normal,ATTACK_POWER,5,16500
157,56,normal,HP,10,16600
158,56,normal,DEFENSE,3,16700
159,57,normal,ATTACK_POWER,5,16800
160,57,normal,HP,10,16900
161,57,normal,DEFENSE,3,17000
162,58,normal,ATTACK_POWER,5,17100
163,58,normal,HP,10,17200
164,58,normal,DEFENSE,3,17300
165,59,normal,ATTACK_POWER,5,17400
166,59,normal,HP,10,17500
167,59,normal,DEFENSE,3,17600
168,60,special,ATTACK_SPEED_PER,900,88500
169,61,normal,ATTACK_POWER,5,17800
170,61,normal,HP,10,17900
171,61,normal,DEFENSE,3,18000
172,62,normal,ATTACK_POWER,5,18100
173,62,normal,HP,10,18200
174,62,normal,DEFENSE,3,18300
175,63,normal,ATTACK_POWER,5,18400
176,63,normal,HP,10,18500
177,63,normal,DEFENSE,3,18600
178,64,normal,ATTACK_POWER,5,18700
179,64,normal,HP,10,18800
180,64,normal,DEFENSE,3,18900
181,65,normal,ATTACK_POWER,5,19000
182,65,normal,HP,10,19100
183,65,normal,DEFENSE,3,19200
184,66,normal,ATTACK_POWER,5,19300
185,66,normal,HP,10,19400
186,66,normal,DEFENSE,3,19500
187,67,normal,ATTACK_POWER,5,19600
188,67,normal,HP,10,19700
189,67,normal,DEFENSE,3,19800
190,68,normal,ATTACK_POWER,5,19900
191,68,normal,HP,10,20000
192,68,normal,DEFENSE,3,20100
193,69,normal,ATTACK_POWER,5,20200
194,69,normal,HP,10,20300
195,69,normal,DEFENSE,3,20400
196,70,special,CRIT_CHANCE_PER,1000,102500
197,71,normal,ATTACK_POWER,5,20600
198,71,normal,HP,10,20700
199,71,normal,DEFENSE,3,20800
200,72,normal,ATTACK_POWER,5,20900
201,72,normal,HP,10,21000
202,72,normal,DEFENSE,3,21100
203,73,normal,ATTACK_POWER,5,21200
204,73,normal,HP,10,21300
205,73,normal,DEFENSE,3,21400
206,74,normal,ATTACK_POWER,5,21500
207,74,normal,HP,10,21600
208,74,normal,DEFENSE,3,21700
209,75,normal,ATTACK_POWER,5,21800
210,75,normal,HP,10,21900
211,75,normal,DEFENSE,3,22000
212,76,normal,ATTACK_POWER,5,22100
213,76,normal,HP,10,22200
214,76,normal,DEFENSE,3,22300
215,77,normal,ATTACK_POWER,5,22400
216,77,normal,HP,10,22500
217,77,normal,DEFENSE,3,22600
218,78,normal,ATTACK_POWER,5,22700
219,78,normal,HP,10,22800
220,78,normal,DEFENSE,3,22900
221,79,normal,ATTACK_POWER,5,23000
222,79,normal,HP,10,23100
223,79,normal,DEFENSE,3,23200
224,80,special,DAMAGE_TAKEN_REDUCE_PER,800,116500
225,81,normal,ATTACK_POWER,5,23400
226,81,normal,HP,10,23500
227,81,normal,DEFENSE,3,23600
228,82,normal,ATTACK_POWER,5,23700
229,82,normal,HP,10,23800
230,82,normal,DEFENSE,3,23900
231,83,normal,ATTACK_POWER,5,24000
232,83,normal,HP,10,24100
233,83,normal,DEFENSE,3,24200
234,84,normal,ATTACK_POWER,5,24300
235,84,normal,HP,10,24400
236,84,normal,DEFENSE,3,24500
237,85,normal,ATTACK_POWER,5,24600
238,85,normal,HP,10,24700
239,85,normal,DEFENSE,3,24800
240,86,normal,ATTACK_POWER,5,24900
241,86,normal,HP,10,25000
242,86,normal,DEFENSE,3,25100
243,87,normal,ATTACK_POWER,5,25200
244,87,normal,HP,10,25300
245,87,normal,DEFENSE,3,25400
246,88,normal,ATTACK_POWER,5,25500
247,88,normal,HP,10,25600
248,88,normal,DEFENSE,3,25700
249,89,normal,ATTACK_POWER,5,25800
250,89,normal,HP,10,25900
251,89,normal,DEFENSE,3,26000
252,90,special,CRIT_DAMAGE_PER,2000,130500
253,91,normal,ATTACK_POWER,5,26200
254,91,normal,HP,10,26300
255,91,normal,DEFENSE,3,26400
256,92,normal,ATTACK_POWER,5,26500
257,92,normal,HP,10,26600
258,92,normal,DEFENSE,3,26700
259,93,normal,ATTACK_POWER,5,26800
260,93,normal,HP,10,26900
261,93,normal,DEFENSE,3,27000
262,94,normal,ATTACK_POWER,5,27100
263,94,normal,HP,10,27200
264,94,normal,DEFENSE,3,27300
265,95,normal,ATTACK_POWER,5,27400
266,95,normal,HP,10,27500
267,95,normal,DEFENSE,3,27600
268,96,normal,ATTACK_POWER,5,27700
269,96,normal,HP,10,27800
270,96,normal,DEFENSE,3,27900
271,97,normal,ATTACK_POWER,5,28000
272,97,normal,HP,10,28100
273,97,normal,DEFENSE,3,28200
274,98,normal,ATTACK_POWER,5,28300
275,98,normal,HP,10,28400
276,98,normal,DEFENSE,3,28500
277,99,normal,ATTACK_POWER,5,28600
278,99,normal,HP,10,28700
279,99,normal,DEFENSE,3,28800
280,100,special,BOSS_DAMAGE_PER,2500,144500
