VfxType,AddressableKey,Scale,LifeTime,Looping,OffsetX,OffsetY,OffsetZ,RotX,RotY,RotZ,use
unit_spawn,Assets/Polygon Arsenal/Prefabs/Combat/Regenerate/Normal/RegeneratePurple 1.prefab,10000,20000,false,0,0,0,,,,1
unit_spawn_ally,Assets/Epic Toon FX/Prefabs/Combat/Explosions/GlitterExplosion/GlitterExplosionBlue.prefab,10000,20000,false,0,0,0,,,,1
unit_spawn_enemy,Assets/Epic Toon FX/Prefabs/Combat/Explosions/SoulExplosion/SoulExplosionGreen 1.prefab,10000,20000,false,0,0,0,,,,1
unit_awakening,Assets/Polygon Arsenal/Prefabs/Combat/Nova/EnergyNova/EnergyNovaRed 1.prefab,10000,20000,false,0,0,0,,,,1
unit_rankup,Assets/Polygon Arsenal/Prefabs/Combat/Melee & Sword/Club Slam/ClubSlamBlue 1.prefab,8000,25000,false,0,-3000,0,,,,1
hit_basic,Assets/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Impacts/CFXR Hit C.prefab,7000,5000,false,0,0,0,,,,1
hit_critical,Assets/JMO Assets/Cartoon FX Remaster/CFXR Prefabs/Impacts/CFXR Hit C (Red).prefab,10000,5000,false,0,0,0,,,,1
instant_life_enchant,Assets/Polygon Arsenal/Prefabs/Combat/Enchant/LifeEnchant 1.prefab,7000,10000,false,0,0,0,,,,1
instant_nova_red,Assets/Polygon Arsenal/Prefabs/Combat/Nova/LightningNova/LightningNovaRed 1.prefab,10000,10000,true,0,0,0,,,,1
instant_nova_lightning,Assets/Polygon Arsenal/Prefabs/Combat/Nova/LightningWave/LightningWaveBlue 1.prefab,10000,10000,false,0,0,0,,,,1
instant_explosion_fireball_blue,Assets/Polygon Arsenal/Prefabs/Combat/Explosions/Magic/Fireball/FireballExplosionBlue.prefab,10000,10000,true,0,0,0,,,,1
instant_explosion_proton_purple,Assets/GabrielAguiarProductions/UniqueProjectilesVol_2/Prefabs/Hits/vfx_Hit_WaterBall01_Red.prefab,10000,10000,false,0,0,0,,,,1
instant_explosion_rocket_red,Assets/Polygon Arsenal/Prefabs/Combat/Explosions/Sci-Fi/Rocket/RocketExplosionRed.prefab,10000,10000,false,0,0,0,,,,1
projectile_storm_blue,Assets/Polygon Arsenal/Prefabs/Combat/Missiles/Magic/Storm/StormMissileBlue.prefab,10000,10000,false,0,0,0,,,,0
projectile_lightning_yellow,Assets/Polygon Arsenal/Prefabs/Combat/Missiles/Magic/Lightning/V1/LightningMissileYellow.prefab,10000,10000,false,0,0,0,,,,1
projectile_fireball_blue,Assets/Polygon Arsenal/Prefabs/Combat/Missiles/Magic/Fireball/FireballBlue.prefab,10000,10000,false,0,0,0,,,,1
