null,mode,stage,wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier
null,Normal,1,1,ZombieMan,15,SCATTER,0.25,0.25
null,Normal,1,2,ZombieMan,20,SCATTER,0.4,0.4
null,Normal,1,3,ZombieMan,25,SCATTER,0.5,0.5
null,Normal,1,4,ZombieMan,30,SCATTER,0.6,0.6
null,Normal,1,5,ZombieMan,25,SCATTER,0.7,0.7
null,Normal,1,5,ZzangDoleZombie,10,LINE_LEFT,0.8,0.8
null,Normal,1,5,ZombieBoss,1,BOSS_LEFT,1,0.8
null,Normal,1,6,ZombieMan,40,SCATTER,1.1,0.9
null,Normal,1,7,ZombieMan,45,SCATTER,1.2,0.95
null,Normal,1,8,ZombieMan,50,WAVE_PATTERN,1.3,1
null,Normal,1,9,ZzangDoleZombie,10,LINE_LEFT,1.4,1
null,Normal,1,9,ZombieMan,40,WAVE_PATTERN,1.4,1
null,Normal,1,10,ZzangDoleZombie,9,LINE_LEFT,1.5,1.15
null,Normal,1,10,ZombieMan,57,WAVE_PATTERN,1.5,1.15
null,Normal,1,10,ZzangDoleZombieBoss,1,BOSS_LEFT,1.5,1.15
null,Normal,1,10,ZombieBoss,1,BOSS_RIGHT,1.5,1.15
null,Normal,1,11,ZzangDoleZombie,10,LINE_LEFT,1.85,1.25
null,Normal,1,11,ZombieMan,30,LINE_CENTER,1.85,1.25
null,Normal,1,11,ZombieWoman,25,LINE_RIGHT,1.85,1.25
null,Normal,1,12,ZzangDoleZombie,10,LINE_LEFT,1.95,1.38
null,Normal,1,12,ZombieMan,30,FRONT_LINE,1.95,1.38
null,Normal,1,12,ZombieWoman,30,LINE_RIGHT,1.95,1.38
null,Normal,1,13,ZzangDoleZombie,15,LINE_LEFT,2.05,1.5
null,Normal,1,13,ZombieMan,30,FRONT_LINE,2.05,1.5
null,Normal,1,13,ZombieWoman,30,LINE_RIGHT,2.05,1.5
null,Normal,1,14,ZzangDoleZombie,15,LINE_LEFT,2.185,1.61
null,Normal,1,14,ZombieMan,30,DIAMOND,2.185,1.61
null,Normal,1,14,ZombieWoman,30,SCATTER,2.185,1.61
null,Normal,1,15,ZzangDoleZombieBoss,1,BOSS_RIGHT,3.45,1.725
null,Normal,1,15,PushZombieBoss,1,BOSS_LEFT,3.45,1.725
null,Normal,1,15,ZzangDoleZombie,15,LINE_LEFT,2.4,1.725
null,Normal,1,15,PushZombie,10,LINE_RIGHT,2.4,1.725
null,Normal,1,15,ZombieMan,25,GUARD_FORMATION,2.4,1.725
