wave_group,wave,sub_wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier
GOLD_RUSH_W1,1,1,ZombieMan,25,SCATTER,10000,10000
GOLD_RUSH_W1,1,1,ZombieWoman,15,SCATTER,10000,10000
BOSS_RUSH_W1,1,1,ZzangDoleZombieBoss,1,SCATTER,10000,10000
BOSS_RUSH_W1,1,1,PushZombieBoss,1,SCATTER,10000,10000
BOSS_RUSH_W1,1,1,BoomZombieBoss,1,SCATTER,10000,10000
BOSS_RUSH_W1,1,1,RushZombieBoss,1,SCATTER,10000,10000
BOSS_RUSH_W1,1,1,RushZombieBoss2,1,SCATTER,10000,10000
MONSTER_RUSH_W1,1,1,RushZombie,2,SCATTER,10000,10000
MONSTER_RUSH_W1,1,1,ZzangDoleZombie,2,SCATTER,10000,10000
MONSTER_RUSH_W1,1,1,ZombieMan,20,SCATTER,10000,10000
MONSTER_RUSH_W1,1,1,ZombieWoman,8,SCATTER,10000,10000
MONSTER_RUSH_W1,1,1,BoomZombie,4,SCATTER,10000,10000
SPEED_RUSH_W1,1,1,ZombieMan,16,SCATTER,10000,10000
SPEED_RUSH_W1,1,1,PushZombie,2,SCATTER,10000,10000
SPEED_RUSH_W1,1,1,BoomZombie,6,SCATTER,10000,10000
SPEED_RUSH_W1,1,1,RushZombie,2,SCATTER,10000,10000
SPEED_RUSH_W1,1,1,ZzangDoleZombie,4,SCATTER,10000,10000
SPEED_RUSH_W1,1,1,ZzangDoleZombieBoss,1,SCATTER,10000,10000
TUTO01_W05,1,1,ZombieMan,5,SCATTER,10000,10000
TUTO01_W05,1,2,ZombieMan,7,SCATTER,10000,10000
TUTO01_W05,2,1,ZombieMan,6,SCATTER,12000,12000
TUTO01_W05,2,2,ZombieMan,8,SCATTER,12000,12000
TUTO01_W05,3,1,ZombieMan,6,SCATTER,14000,14000
TUTO01_W05,3,2,ZombieMan,9,SCATTER,14000,14000
TUTO01_W05,4,1,DefTankZombie,1,LINE_CENTER,16000,16000
TUTO01_W05,4,1,ZombieMan,6,SCATTER,16000,16000
TUTO01_W05,4,2,DefTankZombie,1,LINE_CENTER,16000,16000
TUTO01_W05,4,2,ZombieMan,9,SCATTER,16000,16000
TUTO01_W05,5,1,DefTankZombie,1,LINE_CENTER,18000,18000
TUTO01_W05,5,1,ZombieMan,5,SCATTER,18000,18000
TUTO01_W05,5,2,DefTankZombie,1,LINE_CENTER,18000,18000
TUTO01_W05,5,2,ZombieMan,8,SCATTER,18000,18000
TUTO01_W05,5,2,ZombieBoss,1,LINE_LEFT,18000,18000
TUTO02_W10,1,1,ZombieMan,5,SCATTER,10000,10000
TUTO02_W10,1,2,ZombieMan,7,SCATTER,10000,10000
TUTO02_W10,2,1,ZombieMan,6,SCATTER,12000,12000
TUTO02_W10,2,2,ZombieMan,8,SCATTER,12000,12000
TUTO02_W10,3,1,ZombieMan,6,SCATTER,14000,14000
TUTO02_W10,3,2,ZombieMan,9,SCATTER,14000,14000
TUTO02_W10,4,1,ZombieMan,6,SCATTER,16000,16000
TUTO02_W10,4,1,ZzangDoleZombie,1,LINE_LEFT,16000,16000
TUTO02_W10,4,2,ZombieMan,9,SCATTER,16000,16000
TUTO02_W10,4,2,ZzangDoleZombie,1,LINE_LEFT,16000,16000
TUTO02_W10,5,1,ZombieMan,5,SCATTER,18000,18000
TUTO02_W10,5,1,ZzangDoleZombie,1,LINE_LEFT,18000,18000
TUTO02_W10,5,2,ZombieMan,8,SCATTER,18000,18000
TUTO02_W10,5,2,ZzangDoleZombie,1,LINE_LEFT,18000,18000
TUTO02_W10,5,2,ZombieBoss,1,LINE_LEFT,18000,18000
TUTO02_W10,6,1,ZombieMan,7,SCATTER,20000,20000
TUTO02_W10,6,1,ZzangDoleZombie,1,LINE_LEFT,20000,20000
TUTO02_W10,6,2,ZombieMan,11,SCATTER,20000,20000
TUTO02_W10,6,2,ZzangDoleZombie,1,LINE_LEFT,20000,20000
TUTO02_W10,7,1,ZombieMan,8,SCATTER,22000,22000
TUTO02_W10,7,1,ZzangDoleZombie,1,LINE_LEFT,22000,22000
TUTO02_W10,7,2,ZombieMan,11,SCATTER,22000,22000
TUTO02_W10,7,2,ZzangDoleZombie,2,LINE_LEFT,22000,22000
TUTO02_W10,8,1,ZombieMan,8,SCATTER,24000,24000
TUTO02_W10,8,1,ZzangDoleZombie,1,LINE_LEFT,24000,24000
TUTO02_W10,8,2,ZombieMan,12,SCATTER,24000,24000
TUTO02_W10,8,2,ZzangDoleZombie,2,LINE_LEFT,24000,24000
TUTO02_W10,9,1,RushZombie,1,SCATTER,26000,26000
TUTO02_W10,9,1,ZombieMan,7,SCATTER,26000,26000
TUTO02_W10,9,1,ZzangDoleZombie,2,LINE_LEFT,26000,26000
TUTO02_W10,9,2,RushZombie,1,SCATTER,26000,26000
TUTO02_W10,9,2,ZombieMan,11,SCATTER,26000,26000
TUTO02_W10,9,2,ZzangDoleZombie,2,LINE_LEFT,26000,26000
TUTO02_W10,10,1,RushZombie,1,SCATTER,28000,28000
TUTO02_W10,10,1,ZombieMan,6,SCATTER,28000,28000
TUTO02_W10,10,1,ZzangDoleZombie,2,LINE_LEFT,28000,28000
TUTO02_W10,10,2,RushZombie,1,SCATTER,28000,28000
TUTO02_W10,10,2,ZombieMan,9,SCATTER,28000,28000
TUTO02_W10,10,2,ZzangDoleZombie,2,LINE_LEFT,28000,28000
TUTO02_W10,10,2,ZzangDoleZombieBoss,1,LINE_LEFT,28000,28000
CH01_START_W15,1,1,PushZombie,2,LINE_RIGHT,10000,10000
CH01_START_W15,1,1,ZombieMan,3,SCATTER,10000,10000
CH01_START_W15,1,2,PushZombie,3,LINE_RIGHT,10000,10000
CH01_START_W15,1,2,ZzangDoleZombie,3,LINE_LEFT,10000,10000
CH01_START_W15,2,1,PushZombie,2,LINE_RIGHT,12000,12000
CH01_START_W15,2,1,ZombieWoman,4,SCATTER,12000,12000
CH01_START_W15,2,2,PushZombie,2,LINE_RIGHT,12000,12000
CH01_START_W15,2,2,ZombieMan,1,SCATTER,12000,12000
CH01_START_W15,2,2,ZombieWoman,4,SCATTER,12000,12000
CH01_START_W15,3,1,PushZombie,1,LINE_RIGHT,14000,14000
