unitCode,level,descKey,param0_source,param1_source,param2_source,param3_source,param4_source,param5_source,param6_source,param7_source,notes
# Bazooka - SKILL_BAZOOKA (바주카 포격)
Bazooka,0,unit.Bazooka.skill.desc,CHAIN_BAZOOKA_001.params.spread_count,CHAIN_BAZOOKA_001.value,CHAIN_BAZOOKA_001.params.same_target_multiplier@percent,,,,,,발사개수/피해%/중복피해배율(0.25 = 25%)
Bazooka,10,unit.Bazooka.breakthrough_10.desc,CHAIN_BAZOOKA_003_L10.value,,,,,,,,폭발피해% (화상 적 사망 시 폭발)
Bazooka,30,unit.Bazooka.breakthrough_30.desc,CHAIN_BAZOOKA_001_L30.params.spread_count,,,,,,,,총 발사 개수
Bazooka,50,unit.Bazooka.breakthrough_50.desc,CHAIN_BAZOOKA_001_L50.params.scale_increment@percent,CHAIN_BAZOOKA_001_L50.params.max_scale@percent_inv,,,,,,크기증가% / 최대크기%
Bazooka,999,unit.Bazooka.awakening.desc,CHAIN_BAZOOKA_001.params.spread_count,CHAIN_BAZOOKA_001.value,CHAIN_BAZOOKA_001.params.same_target_multiplier@percent,CHAIN_BAZOOKA_002_AWK.duration,CHAIN_BAZOOKA_002_AWK.tickInterval,CHAIN_BAZOOKA_002_AWK.value,,발사개수/피해%/중복배율/화상지속/틱/화상피해%
# Runner - SKILL_SHIELD_CHARGE (돌진 방패)
Runner,0,unit.Runner.skill.desc,CHAIN_SC_001.value,CHAIN_SC_003.value,CHAIN_SC_001.duration,,,,,,보호막%/피해%/지속시간(초)
Runner,10,unit.Runner.breakthrough_10.desc,CHAIN_SC_005_L10.duration,,,,,,,,스턴 시간(초) - 새로 추가
Runner,30,unit.Runner.breakthrough_30.desc,CHAIN_SC_001_L30.value,,,,,,,,보호막%(증분값)
Runner,50,unit.Runner.breakthrough_50.desc,CHAIN_SC_005_L50.duration,,,,,,,,스턴 지속시간(초)
Runner,999,unit.Runner.awakening.desc,CHAIN_SC_001.value+CHAIN_SC_001_AWK.value,CHAIN_SC_003.value,CHAIN_SC_001.duration,,,,,,보호막%(합산)/피해%/지속시간
# Protest - SKILL_WIND_PUSH (강풍 밀어내기)
Protest,0,unit.Protest.skill.desc,CHAIN_WP_002.params.damage_percent,,,,,,,,피해%
Protest,10,unit.Protest.breakthrough_10.desc,CHAIN_WP_002_L10.params.damage_percent,,,,,,,,피해% 추가 (증분값)
Protest,30,unit.Protest.breakthrough_30.desc,CHAIN_WP_003_L30.value,CHAIN_WP_003_L30.duration,,,,,,슬로우%/지속시간
Protest,50,unit.Protest.breakthrough_50.desc,CHAIN_WP_001_L50.params.area_increase,,,,,,,,범위 증가%
Protest,999,unit.Protest.awakening.desc,CHAIN_WP_002.params.damage_percent,CHAIN_WP_004_AWK.params.probability,CHAIN_WP_004_AWK.duration,,,,,,피해%/스턴확률/스턴시간
# Commander - SKILL_SHIELD_AURA (방어 태세)
Commander,0,unit.Commander.skill.desc,CHAIN_SA_001.value,CHAIN_SA_001.duration,,,,,,,,보호막%/지속시간(초)
Commander,10,unit.Commander.breakthrough_10.desc,CHAIN_CMD_L10.value,,,,,,,,최대HP 증가%
Commander,30,unit.Commander.breakthrough_30.desc,CHAIN_CMD_L30.value,,,,,,,,아군 보호막%
Commander,50,unit.Commander.breakthrough_50.desc,CHAIN_CMD_L50.value,,,,,,,,보호막 추가%
Commander,999,unit.Commander.awakening.desc,CHAIN_SA_001.value,CHAIN_SA_001.duration,CHAIN_CMD_AWK.value,,,,,,보호막%/지속시간/게이지%
# Ballerina - SKILL_TRIPLE_AXEL (트리플 악셀)
Ballerina,0,unit.Ballerina.skill.desc,CHAIN_TA_001.value,CHAIN_TA_002.duration,,,,,,,,피해%/스턴 시간(초)
Ballerina,10,unit.Ballerina.breakthrough_10.desc,CHAIN_TA_003_L10.value,CHAIN_TA_003_L10.duration,,,,,,보호막%/지속시간(초)
Ballerina,30,unit.Ballerina.breakthrough_30.desc,CHAIN_TA_001_L30.value,,,,,,,,피해% 추가 (증분값)
Ballerina,50,unit.Ballerina.breakthrough_50.desc,CHAIN_TA_002_L50.duration,,,,,,,,스턴 추가 시간(초)
Ballerina,999,unit.Ballerina.awakening.desc,CHAIN_TA_001.value,CHAIN_TA_002.duration,,,,,,,,피해%/스턴시간
# Pirate - SKILL_PIRATE_POISON_SLASH (독 칼 휘두르기)
Pirate,0,unit.Pirate.skill.desc,CHAIN_PIRATE_001.value,CHAIN_PIRATE_002.duration,,,,,,,,피해%/스턴 시간(초)
Pirate,10,unit.Pirate.breakthrough_10.desc,CHAIN_PIRATE_001_L10.areaRadius@increase_percent,,,,,,,,범위 증가%
Pirate,30,unit.Pirate.breakthrough_30.desc,CHAIN_PIRATE_001_L30.value,,,,,,,,피해% 추가 (증분값)
Pirate,50,unit.Pirate.breakthrough_50.desc,CHAIN_PIRATE_002_L50.duration,,,,,,,,스턴 추가 시간(초)
Pirate,999,unit.Pirate.awakening.desc,CHAIN_PIRATE_001.value,CHAIN_PIRATE_002.duration,,,,,,,,피해%/스턴시간
# Diver - SKILL_DIVER_WATER_SHIELD (물방울 무적)
Diver,0,unit.Diver.skill.desc,CHAIN_DIVER_001.duration,,,,,,,,무적 시간(초)
Diver,10,unit.Diver.breakthrough_10.desc,CHAIN_DIVER_002_L10.value,,,,,,,,회복%
Diver,30,unit.Diver.breakthrough_30.desc,CHAIN_DIVER_003_L30.value,CHAIN_DIVER_003_L30.duration,,,,,,보호막%/지속시간(초)
Diver,50,unit.Diver.breakthrough_50.desc,CHAIN_DIVER_004_L50.value,,,,,,,,피해감소%
Diver,999,unit.Diver.awakening.desc,CHAIN_DIVER_001.duration+CHAIN_DIVER_001_AWK.duration,,,,,,,,무적시간(합산)
# Samurai - SKILL_FLASH_SLASH (섬광 베기)
Samurai,0,unit.Samurai.skill.desc,CHAIN_FS_002.value,,,,,,,,"기본 피해%"
Samurai,10,unit.Samurai.breakthrough_10.desc,CHAIN_FS_002_L10.value,,,,,,,,피해% 추가 (증분값)
Samurai,30,unit.Samurai.breakthrough_30.desc,CHAIN_FS_003_L30.params.probability,CHAIN_FS_003_L30.params.cooldown,,,,,,확률%/쿨다운(초)
Samurai,50,unit.Samurai.breakthrough_50.desc,CHAIN_FS_003_L50.params.probability,,,,,,,,확률%
Samurai,999,unit.Samurai.awakening.desc,CHAIN_FS_002.value,CHAIN_FS_004_AWK.params.heal_percent,CHAIN_FS_004_AWK.params.max_heal_cap,,,,,,피해%/흡수%/최대흡수%
# Chainsaw - SKILL_CHAINSAW_WHIRLWIND (전기톱 회전)
Chainsaw,0,unit.Chainsaw.skill.desc,CHAIN_CSW_001.value,,,,,,,,기본 피해%
Chainsaw,10,unit.Chainsaw.breakthrough_10.desc,CHAIN_CSW_002_L10.params.heal_percent,CHAIN_CSW_002_L10.params.max_heal_cap,,,,,,회복%/최대 회복%
Chainsaw,30,unit.Chainsaw.breakthrough_30.desc,CHAIN_CSW_001_L30.value,,,,,,,,피해% 추가 (증분값)
Chainsaw,50,unit.Chainsaw.breakthrough_50.desc,CHAIN_CSW_003_L50.value,,,,,,,,보호막%
Chainsaw,999,unit.Chainsaw.awakening.desc,CHAIN_CSW_001.value,,,,,,,,피해%
# Assassin - SKILL_ASSASSINATE (암살)
Assassin,0,unit.Assassin.skill.desc,CHAIN_ASS_002.value,,,,,,,,피해%
Assassin,10,unit.Assassin.breakthrough_10.desc,CHAIN_ASS_003_L10.duration,,,,,,,,은신 시간(초)
Assassin,30,unit.Assassin.breakthrough_30.desc,CHAIN_ASS_003_L30.duration,,,,,,,,은신 추가 시간(초)
Assassin,50,unit.Assassin.breakthrough_50.desc,CHAIN_ASS_004_L50.params.probability,CHAIN_ASS_004_L50.params.damage_multiplier_boss,,,,,,확률%/보스 피해 증가%
Assassin,999,unit.Assassin.awakening.desc,CHAIN_ASS_002.value,CHAIN_ASS_005_AWK.params.heal_percent,,,,,,,,피해%/흡수%
# Sweaty - SKILL_TOXIC_AURA (독성 오라)
Sweaty,0,unit.Sweaty.skill.desc,CHAIN_TOXIC_002.value,,,,,,,,기본 피해%
Sweaty,10,unit.Sweaty.breakthrough_10.desc,CHAIN_TOXIC_001_L10.params.range_multiplier@percent_inv,,,,,,,,범위 증가%
Sweaty,30,unit.Sweaty.breakthrough_30.desc,CHAIN_TOXIC_003_L30.params.heal_percent,,,,,,,,회복%
Sweaty,50,unit.Sweaty.breakthrough_50.desc,CHAIN_TOXIC_004_L50.value,,,,,,,,이동속도% (영구)
Sweaty,999,unit.Sweaty.awakening.desc,CHAIN_TOXIC_002.value+CHAIN_TOXIC_002_AWK.value,,,,,,,,피해%(합산)
# Martial - PASSIVE_Martial (약점 공격)
Martial,0,unit.Martial.skill.desc,CHAIN_MARTIAL_001.value,,,,,,,,크리티컬 확률%p
Martial,10,unit.Martial.breakthrough_10.desc,CHAIN_MARTIAL_L10.value,,,,,,,,공격속도%
Martial,30,unit.Martial.breakthrough_30.desc,CHAIN_MARTIAL_L30.value,,,,,,,,공격력%
Martial,50,unit.Martial.breakthrough_50.desc,CHAIN_MARTIAL_L50.value,,,,,,,,받는 피해%
Martial,999,unit.Martial.awakening.desc,CHAIN_MARTIAL_001.value,CHAIN_MARTIAL_AWK.value,,,,,,,,크리확률/크리데미지
# Squad - SKILL_FLASHBANG (섬광탄)
Squad,0,unit.Squad.skill.desc,CHAIN_FLASHBANG_002.value,CHAIN_FLASHBANG_003.duration,,,,,,,,피해%/혼란 시간(초)
Squad,10,unit.Squad.breakthrough_10.desc,CHAIN_FLASHBANG_003_L10.params.attack_speed_bonus,,,,,,,,공격속도 증가%
Squad,30,unit.Squad.breakthrough_30.desc,CHAIN_FLASHBANG_002_L30.value,,,,,,,,피해% 증가 (증분값)
Squad,50,unit.Squad.breakthrough_50.desc,CHAIN_FLASHBANG_004_L50.value,CHAIN_FLASHBANG_004_L50.duration,,,,,,공격속도%/지속시간(초)
Squad,999,unit.Squad.awakening.desc,CHAIN_FLASHBANG_002.value,CHAIN_FLASHBANG_003.duration+CHAIN_FLASHBANG_003_AWK.duration,,,,,,,,피해%/혼란시간(합산)
# Mad - SKILL_HEALING_POTION (치유 물약)
Mad,0,unit.Mad.skill.desc,CHAIN_HP_001.params.max_targets,CHAIN_HP_001.value,,,,,,,,최대 대상 수/회복%
Mad,10,unit.Mad.breakthrough_10.desc,CHAIN_HP_002_L10.value,,,,,,,,폭발 피해%
Mad,30,unit.Mad.breakthrough_30.desc,CHAIN_HP_003_L30.duration,CHAIN_HP_003_L30.tickInterval,CHAIN_HP_003_L30.value,,,,,,지속시간(초)/틱간격(초)/피해%
Mad,50,unit.Mad.breakthrough_50.desc,CHAIN_HP_001_L50.value,,,,,,,,회복량&피해량 증가% (증분값)
Mad,999,unit.Mad.awakening.desc,CHAIN_HP_001.params.max_targets+CHAIN_HP_005_AWK.params.max_targets,CHAIN_HP_001.value,,,,,,,,대상수(합산)/회복%
# Hacker - SKILL_HACKER_SHIELD (보호막 부여)
