enhanceId,locKey,icon,category,role,value1,value2,value3,condition,incompatible,maxStack,priority,use
ENH_HP_15,HP_15,tank,stat,all,15,0,0,none,,1,100,1
ENH_ATK_10,ATK_10,attack,stat,all,10,0,0,none,,1,100,1
ENH_HP_MINUS_ATK_PLUS,HP_MINUS_ATK_PLUS,attack,stat,all,-15,20,0,none,ENH_ATK_MINUS_HP_PLUS,1,90,1
ENH_ATK_MINUS_HP_PLUS,ATK_MINUS_HP_PLUS,tank,stat,all,-10,30,0,none,ENH_HP_MINUS_ATK_PLUS,1,90,1
ENH_SKILL_DMG,SKILL_DMG,attack,skill,all,25,0,0,has_damage_skill,,1,95,1
ENH_NORMAL_ATK,NORMAL_ATK,attack,combat,all,30,0,0,none,,1,85,1
ENH_SKILL_CD,SKILL_CD,cooldown,skill,all,-10,0,0,has_skill,,1,95,1
ENH_KILL_CHARGE,KILL_CHARGE,cooldown,special,all,2,0,0,none,,1,80,1
ENH_AOE_RANGE,AOE_RANGE,range,skill,all,20,0,0,has_aoe_skill,,1,85,1
ENH_TANK_HEAL_LOW,TANK_HEAL_LOW,heal,special,tank,35,35,0,none,,1,95,1
ENH_TANK_REDUCE_DMG,TANK_REDUCE_DMG,tank,stat,tank,20,0,0,none,,1,100,1
ENH_TANK_HP_TO_ATK,TANK_HP_TO_ATK,special,special,tank,2,0,0,none,,1,90,1
ENH_TANK_WAVE_HP,TANK_WAVE_HP,tank,special,tank,10,50,0,none,,1,85,1
ENH_TANK_SHIELD_BOOST,TANK_SHIELD_BOOST,tank,skill,tank,50,0,0,has_shield_skill,,1,90,1
ENH_TANK_SKILL_HEAL,TANK_SKILL_HEAL,heal,special,tank,7,0,0,has_skill,,1,85,1
ENH_DPS_CRISIS_SHIELD,DPS_CRISIS_SHIELD,special,special,dps,30,50,50,none,,1,95,1
ENH_DPS_LIFESTEAL,DPS_LIFESTEAL,heal,special,dps,2.5,0,0,none,,1,90,1
ENH_DPS_BLEED,DPS_BLEED,attack,special,dps,5,5,0,has_damage_skill,,1,85,1
ENH_DPS_DOT_BOOST,DPS_DOT_BOOST,attack,skill,dps,100,0,0,has_dot_skill|ENH_DPS_BLEED,,1,90,1
ENH_DPS_FULL_HP_BONUS,DPS_FULL_HP_BONUS,attack,special,dps,80,0,0,none,,1,85,1
ENH_DPS_CRIT,DPS_CRIT,attack,stat,dps,15,0,0,none,,1,90,1
ENH_SUP_CC_BOOST,SUP_CC_BOOST,duration,skill,support,50,0,0,has_cc_skill,,1,95,1
ENH_SUP_HEAL_BOOST,SUP_HEAL_BOOST,heal,skill,support,50,0,0,has_heal_skill,,1,95,1
ENH_SUP_PURE_HEALER,SUP_PURE_HEALER,heal,special,support,-20,-20,100,has_heal_skill,ENH_SUP_HYBRID,1,85,1
ENH_SUP_ALLY_SHIELD,SUP_ALLY_SHIELD,tank,special,support,15,3,0,has_ally_skill,,1,90,1
ENH_SUP_RANGE_TARGET,SUP_RANGE_TARGET,range,special,support,0,0,0,none,,1,80,1
ENH_SUP_HYBRID,SUP_HYBRID,attack,stat,support,-25,40,0,none,ENH_SUP_PURE_HEALER,1,85,1
