effectId,effectName,effectType,targetType,targetFilter,valueType,defaultValue,hasDuration,hasTickInterval,defaultParams,use
EFF_DAMAGE,즉시 데미지,damage,target,enemy,percent_atk,100,0,0,falloff:1.0|max_targets:10,1
EFF_DAMAGE_AREA,범위 데미지,damage_area,area,enemy,percent_atk,100,0,0,falloff:0.8|max_targets:99,1
EFF_HEAL,즉시 회복,heal,target,ally,percent_atk,50,0,0,overflow_to_shield:false|max_heal_targets:3,1
EFF_HEAL_AREA,범위 회복,heal,area,ally,percent_atk,50,0,0,overflow_to_shield:false|max_heal_targets:99,1
EFF_SHIELD,보호막,shield,self,any,percent_max_hp,15,1,0,decay_rate:0|absorb_type:all,1
EFF_SHIELD_TARGET,대상 보호막,shield,target,ally,percent_max_hp,15,1,0,decay_rate:0|absorb_type:all,1
EFF_MOVE_DASH,돌진,move_dash,target,enemy,@fixed,10,0,0,collision_damage:true|stop_on_collision:false|collision_radius:1.5,1
EFF_PROJECTILE,투사체,projectile,target,enemy,@fixed,10,0,0,pierce_count:0|homing:0|projectile_scale:1.0,1
EFF_PROJECTILE_PIERCE,관통 투사체,projectile,target,enemy,@fixed,10,0,0,pierce_count:-1|homing:0|projectile_scale:1.0,1
EFF_PROJECTILE_BOUNCE,튕기는 투사체,projectile_bounce,target,enemy,@fixed,8,0,0,bounce_count:2|wall_bounce:true|bounce_decay:0.8|bounce_range:5,1
EFF_PROJECTILE_CHAIN,연쇄 투사체,projectile_chain,target,enemy,@fixed,10,0,0,chain_count:6|chain_range:5|chain_decay:0.9|prefer_new_target:true,1
EFF_PROJECTILE_LOB,포물선 투사체,projectile_lob,target,enemy,@fixed,5,0,0,arc_height:3|explosion_radius:3,1
EFF_DOT_BURN,화상,damage_over_time,target,enemy,percent_atk,20,1,1,dot_type:burn|spread_on_death:false|max_stacks:3,1
EFF_DOT_POISON,독,damage_over_time,target,enemy,@fixed,10,1,1,dot_type:poison|spread_on_death:true|spread_radius:3|max_stacks:5,1
EFF_DOT_BLEED,출혈,damage_over_time,target,enemy,percent_current_hp,5,1,1,dot_type:bleed|tick_damage_increase:1.1|max_stacks:10,1
EFF_BUFF_DAMAGE,지속 VFX 버프,buff_damage,self,any,@fixed,0,1,0,persistent_vfx:true|buff_value:0,1
EFF_BUFF_STAT,범용 스탯 버프,buff_stat,self,any,@fixed,0,1,0,stat_type:damage|is_percentage:true|stackable:false,1
EFF_BUFF_DAMAGE_STAT,공격력 버프,buff_stat,target,ally,percent,30,1,0,stat_type:damage|stackable:false|refresh_on_apply:true,1
EFF_BUFF_DEFENSE,방어력 버프,buff_stat,target,ally,percent,30,1,0,stat_type:defense|stackable:false|refresh_on_apply:true,1
EFF_BUFF_SPEED,이동속도 버프,buff_stat,target,ally,percent,50,1,0,stat_type:speed|stackable:false|refresh_on_apply:true,1
