wave,player_exp,gold,enchantment_shard_count
1,200,440,10
2,210,480,10
3,220,520,10
4,230,560,10
5,240,600,12
6,250,640,12
7,260,680,12
8,270,720,12
9,280,760,12
10,290,800,14
11,300,840,14
12,310,880,14
13,320,920,14
14,330,960,14
15,340,1000,16
16,350,1040,16
17,360,1080,16
18,370,1120,16
19,380,1160,16
20,390,1200,19
21,400,1240,19
22,410,1280,19
23,420,1320,19
24,430,1360,19
25,440,1400,21
26,450,1440,21
27,460,1480,21
28,470,1520,21
29,480,1560,21
30,490,1600,24
31,500,1640,24
32,510,1680,24
33,520,1720,24
34,530,1760,24
35,540,1800,26
36,550,1840,26
37,560,1880,26
38,570,1920,26
39,580,1960,26
40,590,2000,28
41,600,2040,28
42,610,2080,28
43,620,2120,28
44,630,2160,28
45,640,2200,28
46,650,2240,28
47,660,2280,28
48,670,2320,28
49,680,2360,28
50,690,2400,30
