enhanceId,locKey,icon,category,role,value1,value2,value3,excludeUnits,incompatible,maxStack,priority,use
ENH_HP_15,HP_15,tank,stat,all,30,0,0,,,1,100,1
ENH_ATK_10,ATK_10,attack,stat,all,20,0,0,,,1,100,1
ENH_HP_MINUS_ATK_PLUS,HP_MINUS_ATK_PLUS,attack,stat,all,-25,40,0,,ENH_ATK_MINUS_HP_PLUS,1,90,1
ENH_ATK_MINUS_HP_PLUS,ATK_MINUS_HP_PLUS,tank,stat,all,-20,50,0,,ENH_HP_MINUS_ATK_PLUS,1,90,1
ENH_SKILL_DMG,SKILL_DMG,attack,skill,all,40,0,0,Martial|Commander|Diver|Hacker|Snake,,1,95,1
ENH_NORMAL_ATK,NORMAL_ATK,attack,combat,all,50,0,0,,,1,85,1
ENH_SKILL_CD,SKILL_CD,cooldown,skill,all,-20,0,0,Martial|Sweaty,,1,95,1
ENH_KILL_CHARGE,KILL_CHARGE,cooldown,special,all,5,0,0,Martial|Sweaty,,1,80,1
ENH_AOE_RANGE,AOE_RANGE,range,skill,all,30,0,0,Runner|Samurai|Assassin|Martial|Sweaty|Diver|Hacker|Snake,,1,85,0
ENH_TANK_HEAL_LOW,TANK_HEAL_LOW,heal,special,tank,40,50,0,,,1,95,1
ENH_TANK_REDUCE_DMG,TANK_REDUCE_DMG,tank,stat,tank,15,0,0,,,1,100,1
ENH_TANK_HP_TO_ATK,TANK_HP_TO_ATK,special,special,tank,4,0,0,,,1,90,1
ENH_TANK_WAVE_HP,TANK_WAVE_HP,tank,special,tank,10,50,0,,,1,85,1
ENH_TANK_SHIELD_BOOST,TANK_SHIELD_BOOST,tank,skill,tank,50,0,0,Protest|Ballerina|Pirate,,1,90,1
ENH_TANK_SKILL_HEAL,TANK_SKILL_HEAL,heal,special,tank,12,0,0,,,1,85,1
ENH_DPS_CRISIS_SHIELD,DPS_CRISIS_SHIELD,special,special,dps,30,50,50,,,1,95,1
ENH_DPS_LIFESTEAL,DPS_LIFESTEAL,heal,special,dps,5,0,0,,,1,90,1
ENH_DPS_BLEED,DPS_BLEED,attack,special,dps,8,5,0,Martial|Sweaty,,1,85,1
ENH_DPS_DOT_BOOST,DPS_DOT_BOOST,attack,skill,dps,100,0,0,Samurai|Chainsaw|Assassin|Martial,,1,90,1
ENH_DPS_FULL_HP_BONUS,DPS_FULL_HP_BONUS,attack,special,dps,80,0,0,,,1,85,1
ENH_DPS_CRIT,DPS_CRIT,attack,stat,dps,25,0,0,,,1,90,1
ENH_SUP_CC_BOOST,SUP_CC_BOOST,duration,skill,support,50,0,0,Mad|Hacker|Snake,,1,95,1
ENH_SUP_HEAL_BOOST,SUP_HEAL_BOOST,heal,skill,support,50,0,0,Squad|Hacker|Snake,,1,95,1
ENH_SUP_PURE_HEALER,SUP_PURE_HEALER,heal,special,support,-20,-20,100,Squad|Hacker|Snake,ENH_SUP_HYBRID,1,85,1
ENH_SUP_ALLY_SHIELD,SUP_ALLY_SHIELD,tank,special,support,20,3,0,Squad,,1,90,1
ENH_SUP_RANGE_TARGET,SUP_RANGE_TARGET,range,special,support,0,0,0,,,1,80,0
ENH_SUP_HYBRID,SUP_HYBRID,attack,stat,support,-25,40,0,,ENH_SUP_PURE_HEALER,1,85,0
ENH_DPS_EXECUTE,DPS_EXECUTE,attack,special,dps,20,200,0,,,1,85,1
ENH_DPS_FRENZY,DPS_FRENZY,attack,special,dps,8,10,0,,,1,85,1
ENH_DPS_STACK_ASPD,DPS_STACK_ASPD,attack,special,dps,3,60,0,,,1,85,1
ENH_DPS_BERSERKER,DPS_BERSERKER,attack,special,dps,50,60,0,,,1,85,1
ENH_DPS_HARVEST,DPS_HARVEST,attack,special,dps,1,0,0,,,1,85,1
ENH_TANK_REVIVE,TANK_REVIVE,tank,special,tank,40,0,0,,,1,85,0
ENH_TANK_CRISIS_HEAL,TANK_CRISIS_HEAL,heal,special,tank,50,50,5,,,1,85,1
ENH_TANK_HP_SCALE,TANK_HP_SCALE,special,special,tank,25,0,0,,,1,85,1
ENH_TANK_CC_EXTEND,TANK_CC_EXTEND,duration,special,tank,50,0,0,Runner|Commander|Diver,,1,85,1
ENH_TANK_INSPIRE,TANK_INSPIRE,cooldown,special,tank,20,80,0,,,1,85,0
ENH_SUP_FOCUS_FIRE,SUP_FOCUS_FIRE,attack,skill,support,-40,60,0,Hacker|Snake,,1,85,1
ENH_SUP_WIDE_AOE,SUP_WIDE_AOE,range,skill,support,50,0,0,Hacker|Snake,,1,85,0
ENH_SUP_OVERLOAD,SUP_OVERLOAD,cooldown,special,support,100,25,5,,,1,85,0
ENH_SUP_MULTI_STRIKE,SUP_MULTI_STRIKE,attack,combat,support,-40,2,0,,,1,85,0
ENH_SUP_LINK,SUP_LINK,support,special,support,15,0,0,,,1,85,0
ENH_SUP_BUFF_EXTEND,SUP_BUFF_EXTEND,duration,special,support,50,0,0,Mad|Squad,,1,85,1
