mode,stage,reward_type,reward_amount,wave_reward_multiplier,star1_reward_type,star1_reward_amount,star2_reward_type,star2_reward_amount,star3_reward_type,star3_reward_amount,patrol_gold_per_min,patrol_exp_per_min,patrol_shard_per_min
Gold,1,"player_exp,gold","500,035000",,,,,,,,,,
Gold,2,"player_exp,gold","550,037500",,,,,,,,,,
Gold,3,"player_exp,gold","600,040000",,,,,,,,,,
Gold,4,"player_exp,gold","650,042500",,,,,,,,,,
Gold,5,"player_exp,gold","700,045000",,,,,,,,,,
Gold,6,"player_exp,gold","750,047500",,,,,,,,,,
Gold,7,"player_exp,gold","800,050000",,,,,,,,,,
Gold,8,"player_exp,gold","850,052500",,,,,,,,,,
Gold,9,"player_exp,gold","900,055000",,,,,,,,,,
Gold,10,"player_exp,gold","950,057500",,,,,,,,,,
Gold,11,"player_exp,gold","1000,060000",,,,,,,,,,
Gold,12,"player_exp,gold","1050,062500",,,,,,,,,,
Gold,13,"player_exp,gold","1100,065000",,,,,,,,,,
Gold,14,"player_exp,gold","1150,067500",,,,,,,,,,
Gold,15,"player_exp,gold","1200,070000",,,,,,,,,,
Gold,16,"player_exp,gold","1250,072500",,,,,,,,,,
Gold,17,"player_exp,gold","1300,075000",,,,,,,,,,
Gold,18,"player_exp,gold","1350,077500",,,,,,,,,,
Gold,19,"player_exp,gold","1400,080000",,,,,,,,,,
Gold,20,"player_exp,gold","1450,082500",,,,,,,,,,
Gold,21,"player_exp,gold","1500,085000",,,,,,,,,,
Gold,22,"player_exp,gold","1550,087500",,,,,,,,,,
Gold,23,"player_exp,gold","1600,090000",,,,,,,,,,
Gold,24,"player_exp,gold","1650,092500",,,,,,,,,,
Gold,25,"player_exp,gold","1700,095000",,,,,,,,,,
Gold,26,"player_exp,gold","1750,097500",,,,,,,,,,
Gold,27,"player_exp,gold","1800,100000",,,,,,,,,,
Gold,28,"player_exp,gold","1850,102500",,,,,,,,,,
Gold,29,"player_exp,gold","1900,105000",,,,,,,,,,
Gold,30,"player_exp,gold","1950,107500",,,,,,,,,,
Boss,1,"player_exp,enchantment_shard_blue","500,165",,,,,,,,,,
Boss,2,"player_exp,enchantment_shard_blue","550,180",,,,,,,,,,
Boss,3,"player_exp,enchantment_shard_blue","600,195",,,,,,,,,,
Boss,4,"player_exp,enchantment_shard_blue","650,210",,,,,,,,,,
Boss,5,"player_exp,enchantment_shard_blue","700,225",,,,,,,,,,
Boss,6,"player_exp,enchantment_shard_blue","750,240",,,,,,,,,,
Boss,7,"player_exp,enchantment_shard_blue","800,255",,,,,,,,,,
Boss,8,"player_exp,enchantment_shard_blue","850,270",,,,,,,,,,
Boss,9,"player_exp,enchantment_shard_blue","900,285",,,,,,,,,,
Boss,10,"player_exp,enchantment_shard_blue","950,300",,,,,,,,,,
Boss,11,"player_exp,enchantment_shard_blue","1000,315",,,,,,,,,,
Boss,12,"player_exp,enchantment_shard_blue","1050,330",,,,,,,,,,
Boss,13,"player_exp,enchantment_shard_blue","1100,345",,,,,,,,,,
Boss,14,"player_exp,enchantment_shard_blue","1150,360",,,,,,,,,,
Boss,15,"player_exp,enchantment_shard_blue","1200,375",,,,,,,,,,
Boss,16,"player_exp,enchantment_shard_blue","1250,390",,,,,,,,,,
Boss,17,"player_exp,enchantment_shard_blue","1300,405",,,,,,,,,,
Boss,18,"player_exp,enchantment_shard_blue","1350,420",,,,,,,,,,
Boss,19,"player_exp,enchantment_shard_blue","1400,435",,,,,,,,,,
Boss,20,"player_exp,enchantment_shard_blue","1450,450",,,,,,,,,,
Boss,21,"player_exp,enchantment_shard_blue","1500,465",,,,,,,,,,
Boss,22,"player_exp,enchantment_shard_blue","1550,480",,,,,,,,,,
Boss,23,"player_exp,enchantment_shard_blue","1600,495",,,,,,,,,,
Boss,24,"player_exp,enchantment_shard_blue","1650,510",,,,,,,,,,
Boss,25,"player_exp,enchantment_shard_blue","1700,525",,,,,,,,,,
Boss,26,"player_exp,enchantment_shard_blue","1750,540",,,,,,,,,,
Boss,27,"player_exp,enchantment_shard_blue","1800,555",,,,,,,,,,
Boss,28,"player_exp,enchantment_shard_blue","1850,570",,,,,,,,,,
