cargo_id,rarity,effect_type,value1,value2,value3,target_role,condition,loc_key_name,loc_key_desc,use
OIL_ASPD,Epic,stat_buff,0.20,,,,,cargo.OIL_ASPD.name,cargo.OIL_ASPD.desc,1
VEST_DEF,Epic,stat_buff,0.10,,,,,cargo.VEST_DEF.name,cargo.VEST_DEF.desc,1
CRIT_UP,Epic,stat_buff,0.15,,,,,cargo.CRIT_UP.name,cargo.CRIT_UP.desc,1
MOVE_SPD,Epic,stat_buff,0.20,,,,,cargo.MOVE_SPD.name,cargo.MOVE_SPD.desc,1
BASIC_AMP,Epic,stat_buff,0.40,,,,,cargo.BASIC_AMP.name,cargo.BASIC_AMP.desc,1
AUTOHEAL,Epic,periodic,0.05,5,,,,cargo.AUTOHEAL.name,cargo.AUTOHEAL.desc,1
ROLE_TANK,Epic,role_buff,0,0.60,,Tank,,cargo.ROLE_TANK.name,cargo.ROLE_TANK.desc,1
ROLE_DPS,Epic,role_buff,0.25,0.25,,DPS,,cargo.ROLE_DPS.name,cargo.ROLE_DPS.desc,1
ROLE_SUP,Epic,role_buff,0.30,,,Support,,cargo.ROLE_SUP.name,cargo.ROLE_SUP.desc,1
GLASS,Epic,conditional,0.40,,,,first_damage,cargo.GLASS.name,cargo.GLASS.desc,1
DEBUFF_BONUS,Epic,conditional,0.30,,,,debuffed_target,cargo.DEBUFF_BONUS.name,cargo.DEBUFF_BONUS.desc,1
LOWEST,Epic,conditional,0.40,,,,lowest_rank,cargo.LOWEST.name,cargo.LOWEST.desc,1
REVENGE,Epic,event_on_death,0.20,0.30,,,,cargo.REVENGE.name,cargo.REVENGE.desc,1
TEARFUL,Epic,event_on_death,0.05,,,,,cargo.TEARFUL.name,cargo.TEARFUL.desc,1
MVP,Epic,event_on_wave,0.10,,,,,cargo.MVP.name,cargo.MVP.desc,1
BOND,Epic,event_on_death,0.20,0.05,,,,cargo.BOND.name,cargo.BOND.desc,1
CARGO_COUNT,Epic,scaling,0.04,,,,,cargo.CARGO_COUNT.name,cargo.CARGO_COUNT.desc,1
QUICKSTART,Epic,system_action,0.50,,,,,cargo.QUICKSTART.name,cargo.QUICKSTART.desc,1
WAVE_ATK,Legendary,scaling,0.10,0.50,,,,cargo.WAVE_ATK.name,cargo.WAVE_ATK.desc,1
WAVE_HP,Legendary,scaling,0.10,0.50,,,,cargo.WAVE_HP.name,cargo.WAVE_HP.desc,1
WAVE_ASPD,Legendary,scaling,0.15,0.75,,,,cargo.WAVE_ASPD.name,cargo.WAVE_ASPD.desc,1
SKILL_AMP,Legendary,system_action,0.50,,,,,cargo.SKILL_AMP.name,cargo.SKILL_AMP.desc,1
HEAL_AMP,Legendary,system_action,0.80,,,,,cargo.HEAL_AMP.name,cargo.HEAL_AMP.desc,1
RAINBOW,Legendary,scaling,0.03,,,,,cargo.RAINBOW.name,cargo.RAINBOW.desc,1
MAX_RANK,Legendary,system_action,1,,,,,cargo.MAX_RANK.name,cargo.MAX_RANK.desc,1
STAR,Legendary,system_action,1,,,,,cargo.STAR.name,cargo.STAR.desc,0
VICTORY,Legendary,scaling,0.02,,,,,cargo.VICTORY.name,cargo.VICTORY.desc,1
