supply_id,group_key,rarity,icon_address,effect_type,vfxType,value,interval_sec,duration_sec,shield_duration_sec,stat_targets,wave_scope,wave_duration,max_stack,sort_weight,loc_key_desc,use
supply_allheal_legendary_instant,heal_all_hp,Legendary,Assets/_game/Prefabs/Supply/Icon_Heal.Png,instant_heal,instant_heal,50,0,0,0,,single_wave,0,0,300,supply.instant_heal.desc,0
supply_allheal_legendary_periodic,heal_all_hp,Legendary,Assets/_game/Prefabs/Supply/Icon_Emergency_Bag.Png,periodic_heal,instant_heal,15,5,60,0,,single_wave,1,0,290,supply.periodic_heal.desc,0
supply_allheal_legendary_shield,heal_all_hp,Legendary,Assets/_game/Prefabs/Supply/Icon_bulletproof vest.Png,shield,shield_basic,75,0,0,10,,single_wave,0,0,280,supply.shield.desc,1
supply_allheal_epic_instant,heal_all_hp,Epic,Assets/_game/Prefabs/Supply/Icon_Heal.Png,instant_heal,instant_heal,20,0,0,0,,single_wave,0,0,260,supply.instant_heal.desc,0
supply_allheal_epic_periodic,heal_all_hp,Epic,Assets/_game/Prefabs/Supply/Icon_Emergency_Bag.Png,periodic_heal,instant_heal,10,5,60,0,,single_wave,0,0,250,supply.periodic_heal.desc,0
supply_allheal_epic_shield,heal_all_hp,Epic,Assets/_game/Prefabs/Supply/Icon_bulletproof vest.Png,shield,shield_basic,30,0,0,10,,single_wave,0,0,240,supply.shield.desc,1
supply_allheal_rare_instant,heal_all_hp,Rare,Assets/_game/Prefabs/Supply/Icon_Heal.Png,instant_heal,instant_heal,10,0,0,0,,single_wave,0,0,220,supply.instant_heal.desc,0
supply_allheal_rare_periodic,heal_all_hp,Rare,Assets/_game/Prefabs/Supply/Icon_Emergency_Bag.Png,periodic_heal,instant_heal,5,5,60,0,,single_wave,0,0,210,supply.periodic_heal.desc,0
supply_allheal_rare_shield,heal_all_hp,Rare,Assets/_game/Prefabs/Supply/Icon_bulletproof vest.Png,shield,shield_basic,15,0,0,10,,single_wave,0,0,200,supply.shield.desc,1
supply_allstat_legendary_hp,boost_all_hp,Legendary,Assets/_game/Prefabs/Supply/Icon_Heart.png,stat_buff,,0,0,0,0,hp:0.5,permanent,0,0,190,supply.stat_buff.hp.desc,1
supply_allstat_legendary_atk,boost_all_atk,Legendary,Assets/_game/Prefabs/Supply/ItemIcon_Gear_Sword.png,stat_buff,,0,0,0,0,atk:0.4,permanent,0,0,185,supply.stat_buff.atk.desc,1
supply_allstat_legendary_skill,boost_all_skill,Legendary,Assets/_game/Prefabs/Supply/Icon_Timer_Big.png,stat_buff,,0,0,0,0,skill_cooldown:-0.25,permanent,0,0,180,supply.stat_buff.skill.desc,1
supply_allstat_epic_hp,boost_all_hp,Epic,Assets/_game/Prefabs/Supply/Icon_Heart.png,stat_buff,,0,0,0,0,hp:0.25,permanent,0,0,170,supply.stat_buff.hp.desc,1
supply_allstat_epic_atk,boost_all_atk,Epic,Assets/_game/Prefabs/Supply/ItemIcon_Gear_Sword.png,stat_buff,,0,0,0,0,atk:0.2,permanent,0,0,165,supply.stat_buff.atk.desc,1
supply_allstat_epic_skill,boost_all_skill,Epic,Assets/_game/Prefabs/Supply/Icon_Timer_Big.png,stat_buff,,0,0,0,0,skill_cooldown:-0.1,permanent,0,0,160,supply.stat_buff.skill.desc,1
supply_allstat_rare_hp,boost_all_hp,Rare,Assets/_game/Prefabs/Supply/Icon_Heart.png,stat_buff,,0,0,0,0,hp:0.12,permanent,0,0,150,supply.stat_buff.hp.desc,1
supply_allstat_rare_atk,boost_all_atk,Rare,Assets/_game/Prefabs/Supply/ItemIcon_Gear_Sword.png,stat_buff,,0,0,0,0,atk:0.1,permanent,0,0,145,supply.stat_buff.atk.desc,1
supply_allstat_rare_skill,boost_all_skill,Rare,Assets/_game/Prefabs/Supply/Icon_Timer_Big.png,stat_buff,,0,0,0,0,skill_cooldown:-0.05,permanent,0,0,140,supply.stat_buff.skill.desc,1
