null,mode,stage,wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier
null,Normal,1,1,ZombieMan,6,SCATTER,0.25,0.25
null,Normal,1,2,ZombieMan,9,SCATTER,0.27,0.26
null,Normal,1,3,ZombieMan,11,SCATTER,0.28,0.27
null,Normal,1,4,ZombieMan,13,SCATTER,0.3,0.28
null,Normal,1,5,ZombieMan,16,SCATTER,0.32,0.29
null,Normal,1,6,ZombieMan,19,SCATTER,0.33,0.31
null,Normal,1,7,ZombieMan,24,SCATTER,0.35,0.32
null,Normal,1,8,ZombieMan,29,SCATTER,0.37,0.33
null,Normal,1,9,ZombieMan,32,SCATTER,0.38,0.34
null,Normal,1,10,ZombieMan,34,SCATTER,0.4,0.35
null,Normal,2,1,ZombieMan,6,SCATTER,0.4,0.35
null,Normal,2,2,ZombieMan,8,SCATTER,0.42,0.36
null,Normal,2,3,ZombieMan,11,SCATTER,0.43,0.38
null,Normal,2,4,ZombieMan,13,SCATTER,0.45,0.39
null,Normal,2,5,ZombieMan,19,SCATTER,0.47,0.41
null,Normal,2,6,ZombieMan,19,SCATTER,0.48,0.42
null,Normal,2,7,ZombieMan,24,SCATTER,0.5,0.44
null,Normal,2,8,ZombieMan,28,SCATTER,0.52,0.45
null,Normal,2,9,ZombieMan,30,SCATTER,0.53,0.47
null,Normal,2,10,ZombieMan,34,SCATTER,0.55,0.48
null,Normal,3,1,ZombieMan,6,SCATTER,0.5,0.4
null,Normal,3,2,ZombieMan,9,SCATTER,0.51,0.41
null,Normal,3,3,ZombieMan,11,SCATTER,0.53,0.42
null,Normal,3,4,ZombieMan,13,SCATTER,0.54,0.43
null,Normal,3,5,ZombieMan,19,SCATTER,0.55,0.44
null,Normal,3,6,ZombieBoss,2,BOSS_CENTER,1.03,0.45
null,Normal,3,6,ZombieMan,12,SCATTER,0.57,0.45
null,Normal,3,7,ZombieMan,14,SCATTER,0.58,0.45
null,Normal,3,8,ZombieMan,16,SCATTER,0.6,0.46
null,Normal,3,9,ZombieMan,17,SCATTER,0.61,0.47
null,Normal,3,10,ZombieMan,17,SCATTER,0.62,0.48
null,Normal,3,11,ZombieMan,19,SCATTER,0.64,0.49
null,Normal,3,12,ZombieBoss,2,BOSS_CENTER,1.17,0.5
null,Normal,3,12,ZombieMan,16,SCATTER,0.65,0.5
null,Normal,4,1,ZombieMan,6,SCATTER,0.6,0.5
null,Normal,4,1,ZombieMan,8,LINE_LEFT,0.6,0.5
null,Normal,4,2,ZombieMan,11,SCATTER,0.62,0.51
null,Normal,4,2,ZombieMan,11,LINE_LEFT,0.62,0.51
null,Normal,4,3,ZombieMan,29,SCATTER,0.64,0.52
null,Normal,4,3,ZzangDoleZombie,2,LINE_LEFT,0.64,0.52
null,Normal,4,4,ZombieMan,30,SCATTER,0.65,0.53
null,Normal,4,4,ZzangDoleZombie,3,LINE_LEFT,0.65,0.53
null,Normal,4,5,ZombieMan,30,SCATTER,0.67,0.54
null,Normal,4,5,ZzangDoleZombie,3,LINE_LEFT,0.67,0.54
null,Normal,4,6,ZombieMan,16,SCATTER,0.69,0.55
null,Normal,4,6,ZzangDoleZombie,3,LINE_LEFT,0.69,0.55
null,Normal,4,7,ZombieMan,16,SCATTER,0.71,0.55
null,Normal,4,7,ZzangDoleZombie,3,LINE_LEFT,0.71,0.55
null,Normal,4,8,ZombieMan,17,SCATTER,0.73,0.56
null,Normal,4,8,ZzangDoleZombie,3,LINE_LEFT,0.73,0.56
null,Normal,4,9,ZombieMan,17,SCATTER,0.75,0.57
null,Normal,4,9,ZzangDoleZombie,3,LINE_LEFT,0.75,0.57
null,Normal,4,10,ZombieMan,19,SCATTER,0.76,0.58
null,Normal,4,10,ZzangDoleZombie,3,LINE_LEFT,0.76,0.58
null,Normal,4,11,ZombieMan,19,SCATTER,0.78,0.59
null,Normal,4,11,ZzangDoleZombie,4,LINE_LEFT,0.78,0.59
null,Normal,4,12,ZombieMan,20,SCATTER,0.8,0.6
null,Normal,4,12,ZzangDoleZombie,4,LINE_LEFT,0.8,0.6
null,Normal,5,1,ZombieMan,6,SCATTER,0.75,0.55
null,Normal,5,1,ZombieMan,8,LINE_LEFT,0.75,0.55
null,Normal,5,2,ZombieMan,6,SCATTER,0.77,0.56
null,Normal,5,2,ZombieMan,11,LINE_LEFT,0.77,0.56
null,Normal,5,3,ZombieMan,8,SCATTER,0.79,0.57
null,Normal,5,3,ZombieMan,13,LINE_LEFT,0.79,0.57
null,Normal,5,4,ZombieMan,15,SCATTER,0.8,0.58
null,Normal,5,4,ZzangDoleZombie,3,LINE_LEFT,0.8,0.58
null,Normal,5,5,ZombieMan,15,SCATTER,0.82,0.59
null,Normal,5,5,ZzangDoleZombie,3,LINE_LEFT,0.82,0.59
null,Normal,5,6,ZombieMan,16,SCATTER,0.84,0.6
null,Normal,5,6,ZzangDoleZombie,4,LINE_LEFT,0.84,0.6
null,Normal,5,7,ZombieMan,16,SCATTER,0.86,0.61
null,Normal,5,7,ZzangDoleZombie,4,LINE_LEFT,0.86,0.61
null,Normal,5,8,ZombieBoss,1,BOSS_CENTER,1.58,0.62
null,Normal,5,8,ZombieMan,11,SCATTER,0.88,0.62
